r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.172406673431396484e-01,6.172406673431396484e-01,1.722767949104309082e-01,6.146342754364013672e-01,2.319636344909667969e+01,3.027272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.430693417787551880e-01,3.125000000000000000e-02,5.600000023841857910e-01,0.000000000000000000e+00,6.140435338020324707e-01,5.164863109588623047e+00
7.236487865447998047e-01,7.236487865447998047e-01,1.815422922372817993e-01,7.219617366790771484e-01,2.403090858459472656e+01,3.625000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.535039395093917847e-01,5.468750000000000000e-02,5.527272820472717285e-01,0.000000000000000000e+00,7.210779190063476562e-01,7.237691879272460938e+00
7.236487865447998047e-01,6.920242309570312500e-01,1.830566376447677612e-01,6.893270015716552734e-01,2.173999977111816406e+01,1.745454597473144531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.278138160705566406e-01,2.343750000000000000e-02,5.709090828895568848e-01,0.000000000000000000e+00,6.880068182945251465e-01,8.910451889038085938e+00
7.236487865447998047e-01,7.011068463325500488e-01,1.838635951280593872e-01,6.866647005081176758e-01,2.247090911865234375e+01,2.363636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.326329857110977173e-01,1.562500000000000000e-02,5.472727417945861816e-01,0.000000000000000000e+00,6.851781606674194336e-01,1.052818393707275391e+01
7.474381923675537109e-01,7.474381923675537109e-01,1.773564219474792480e-01,7.466450333595275879e-01,2.206545448303222656e+01,1.700000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.332163959741592407e-01,3.515625000000000000e-02,5.872727036476135254e-01,0.000000000000000000e+00,7.426778674125671387e-01,1.216093063354492188e+01
7.844248414039611816e-01,7.844248414039611816e-01,1.894995719194412231e-01,7.400349974632263184e-01,2.506727218627929688e+01,5.963636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.497692465782165527e-01,2.343750000000000000e-02,5.436363816261291504e-01,0.000000000000000000e+00,7.300261259078979492e-01,1.406539344787597656e+01
7.844248414039611816e-01,7.415793538093566895e-01,1.761314123868942261e-01,6.472179889678955078e-01,2.686000061035156250e+01,6.100000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.757164597511291504e-01,2.229203879833221436e-01,5.618181824684143066e-01,0.000000000000000000e+00,6.365922093391418457e-01,1.615752410888671875e+01
7.844248414039611816e-01,7.625567913055419922e-01,1.860197335481643677e-01,7.552328109741210938e-01,2.695818138122558594e+01,7.583333587646484375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.866075694561004639e-01,1.992187500000000000e-01,5.581818222999572754e-01,0.000000000000000000e+00,7.528889775276184082e-01,1.843581962585449219e+01
7.844248414039611816e-01,5.942884683609008789e-01,1.705726087093353271e-01,5.887383818626403809e-01,2.325454521179199219e+01,3.018181800842285156e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.389033496379852295e-01,1.167368441820144653e-01,5.690909028053283691e-01,0.000000000000000000e+00,5.881408452987670898e-01,2.027374267578125000e+01
8.408605456352233887e-01,8.408605456352233887e-01,1.781236529350280762e-01,7.983263134956359863e-01,2.292000007629394531e+01,2.381818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.376319527626037598e-01,6.250000000000000000e-02,5.818181633949279785e-01,0.000000000000000000e+00,7.839915752410888672e-01,2.218987846374511719e+01
