complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.44727761484492146,0,1,[0],"mul,sub,x1,x1,x1",1.5270729380733976,1.5270729380733976,False
6,0.4600361995177435,0,1,[2],"div,add,x1,x1,x1",1.3776702396385367,1.3776702396385367,False
7,0.4954316472843619,0,1,[log(x1**2)],"log,mul,x1,x1",1.0372239223214155,1.0372239223214155,False
8,0.5768710226634864,0,1,[x1/2],"mul,div,x1,add,x1,x1,x1",0.5380072009982192,0.5380072009982192,False
10,0.6764290672143696,0,1,[x1*sin(exp(x1))],"mul,sin,exp,x1,x1",0.22882026198743086,0.22882026198743086,False
13,0.6942819341421143,0,1,[2*x1/(x1*cos(x1) + x1)],"div,add,x1,x1,add,mul,cos,x1,x1,x1",0.19389672662081295,0.19389672662081295,False
15,0.7806453358138818,0,1,[x1/(x1*cos(x1**3) + x1)],"div,x1,add,mul,cos,mul,mul,x1,x1,x1,x1,x1",0.07895619449799933,0.07895619449799933,False
17,0.8140259118677668,0,1,[x1*cos(x1**2)*cos(2*x1**2)],"mul,mul,x1,cos,mul,add,x1,x1,x1,cos,mul,x1,x1",0.05219494171858873,0.05219494171858873,False
20,0.8632646732371603,0,1,[log(x1 + exp(x1*cos(2*x1**2)))],"log,add,x1,exp,mul,x1,cos,mul,add,x1,x1,x1",0.025088432492493255,0.025088432492493255,False
22,0.863474030053493,0,1,[log(2*x1 + exp(x1*cos(2*x1**2)))],"log,add,add,x1,exp,mul,x1,cos,mul,add,x1,x1,x1,x1",0.024999537888400866,0.024999537888400866,False
23,0.8711418297014325,0,1,[x1*cos((2*x1**2 - x1)/(x1 + log(x1))) + x1],"add,mul,cos,div,sub,mul,add,x1,x1,x1,x1,add,log,x1,x1,x1,x1",0.021879942941741067,0.021879942941741067,False
29,0.8881870368892374,0,1,[x1/(log(x1**2 - x1)*cos(x1/log(log(x1))))],"div,div,x1,log,sub,mul,x1,x1,x1,cos,div,x1,log,log,x1",0.015848036132334414,0.015848036132334414,False
39,0.9048316036204426,0,1,[x1/(log(x1**2*cos(1))*cos(x1/log(log(x1))))],"div,div,x1,log,sub,add,mul,mul,cos,div,x1,x1,x1,x1,x1,x1,cos,div,x1,log,log,x1",0.011062415862603014,0.011062415862603014,False
41,0.9161782453840231,0,1,[x1/(exp(exp(sin(x1 + x1/log(x1)))) + cos(x1)/2)],"div,x1,add,exp,exp,sin,add,div,x1,log,x1,x1,div,cos,x1,div,sub,x1,sub,x1,add,x1,x1,x1",0.008370541320236125,0.008370541320236125,False
43,0.9228612226673537,0,1,[log(x1 + exp(x1*sin(x1*(x1*(x1 + log(log(log(x1))/x1)) - x1))))],"log,add,exp,mul,sin,mul,sub,mul,add,log,div,mul,log,log,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1",0.006986709819471157,0.006986709819471157,False
46,0.9398599980173516,0,1,[log(x1 + exp(x1*cos(exp(x1)/(x1**2*(-x1 + log(log(log(x1)))) + x1)))/x1)],"log,add,x1,div,exp,mul,cos,div,exp,x1,add,mul,mul,sub,log,log,log,x1,x1,x1,x1,x1,x1,x1",0.004094496882140844,0.004094496882140844,False
62,0.9452721625954777,0,1,[x1*exp(cos(x1*(x1 + exp(log((x1 + log(x1**5))/x1**2)/x1))) - 1)],"mul,exp,sub,cos,mul,add,mul,sub,add,div,exp,div,log,div,div,add,x1,log,mul,mul,x1,x1,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,sub,x1,x1,x1",0.003351990948846312,0.003351990948846312,False
67,0.9452872967195389,0,1,[x1*exp(cos(x1*(x1 + exp(log((x1 + log(x1**3*(x1**2 + 1)))/x1**2)/x1))) - 1)],"mul,exp,sub,cos,mul,add,mul,sub,add,div,exp,div,log,div,div,add,x1,log,mul,mul,mul,add,div,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,sub,x1,x1,x1",0.00335003005318767,0.00335003005318767,False
69,0.9455184514682241,0,1,[x1*exp(cos(x1*(x1 + exp(log((x1 + log(x1**2*(x1 + 1)*(x1**2 + x1)))/x1**2)/x1))) - 1)],"mul,exp,sub,cos,mul,add,mul,sub,add,div,exp,div,log,div,div,add,x1,log,mul,mul,mul,add,div,x1,x1,x1,x1,add,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,sub,x1,x1,x1",0.0033201589015001876,0.0033201589015001876,False
80,0.9466049832392587,0,1,[x1/(exp(cos(x1) - cos(x1)/log(x1/log(x1) - cos(x1) + sin(x1)/x1) - 2/x1)*cos(x1) + exp(exp(sin(x1 + x1/log(x1)))))],"div,x1,add,exp,exp,sin,add,div,x1,log,x1,x1,div,cos,x1,exp,sub,div,cos,x1,log,sub,div,sin,x1,x1,sub,cos,x1,div,x1,log,x1,sub,cos,x1,div,add,x1,x1,mul,x1,x1",0.003181734092920842,0.003181734092920842,False
92,0.9482132449885791,0,1,[log(x1)/cos((x1*log(x1*log(x1*(x1*(2*x1 + (2*x1**2 + x1)/x1) - 2*x1 - exp(log(log(x1))/x1)) + x1) + x1 - log(x1)) + x1)/x1)],"div,log,x1,cos,div,add,mul,log,add,sub,mul,log,add,sub,add,mul,sub,sub,sub,mul,exp,sub,add,log,add,x1,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,div,log,log,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1,x1",0.002982808435529127,0.002982808435529127,False
99,0.9484181331793282,0,1,[log(x1)/cos((x1*log(x1*log(x1*(x1*(2*x1 + (2*x1**2 + x1)/x1) - x1 - exp(log(log(x1))/x1) - E) + x1) + x1 - log(x1)) + x1)/x1)],"div,log,x1,cos,div,add,mul,log,add,sub,mul,log,add,sub,add,mul,sub,sub,sub,mul,exp,sub,add,log,add,x1,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,div,log,log,x1,x1,exp,div,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1,x1",0.0029579744199243847,0.0029579744199243847,False
202,0.9484444615442351,0,1,[log(x1)/cos((x1*log(x1*log(x1*(x1*(2*x1 + (2*x1**2 + x1)/x1) - x1 - exp(log((x1*log(x1*log(x1*(-2*x1**2 + x1*exp(2*x1) - x1*log(2*x1) - x1 - exp(log(log(x1))/x1)) + x1) + x1 - log(x1)) + x1)/x1)/x1) - log(log(2*x1 + (2*x1**2 + x1)/x1))/log(2*x1)) + x1) + x1 - log(x1)) + x1)/x1)],"div,log,x1,cos,div,add,mul,log,add,sub,mul,log,add,sub,add,mul,sub,sub,sub,mul,exp,sub,add,log,add,x1,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,div,log,div,add,mul,log,add,sub,mul,log,add,sub,add,mul,sub,sub,sub,mul,exp,sub,add,add,x1,x1,x1,x1,x1,exp,div,log,log,x1,x1,add,mul,add,x1,x1,x1,mul,log,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1,x1,x1,div,mul,log,log,add,x1,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,mul,log,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1,x1",0.002954791523832579,0.002954791523832579,False
221,0.9484455878302689,0,1,[log(x1)/cos((x1*log(x1*log(x1*(x1*(2*x1 + (2*x1**2 + x1)/x1) - x1 - exp(log((x1*log(x1*log(x1*(x1*(2*x1 + (2*x1**2 + x1)/x1) - 2*x1*log(2*x1) - x1 - exp(log(log(x1))/x1)) + x1) + x1 - log(x1)) + x1)/x1)/x1) - log(log(2*x1 + 1))/log(2*x1)) + x1) + x1 - log(x1)) + x1)/x1)],"div,log,x1,cos,div,add,mul,log,add,sub,mul,log,add,sub,add,mul,sub,sub,sub,mul,exp,sub,add,log,add,x1,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,div,log,div,add,mul,log,add,sub,mul,log,add,sub,add,mul,sub,sub,sub,mul,exp,sub,add,log,add,x1,add,div,add,mul,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,div,log,log,x1,x1,add,mul,log,add,x1,x1,x1,mul,log,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1,x1,x1,div,mul,log,log,add,x1,add,div,add,mul,sub,x1,x1,x1,x1,x1,x1,x1,mul,log,add,x1,x1,x1,x1,x1,x1,x1,x1,x1,log,x1,x1,x1,x1,x1",0.0029546554067006563,0.0029546554067006563,False
