r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
4.970313012599945068e-01,4.970313012599945068e-01,4.621675238013267517e-02,4.970313012599945068e-01,2.126181793212890625e+01,9.960000038146972656e+00,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.270797997713088989e-01,4.160622134804725647e-02,8.909090757369995117e-01,0.000000000000000000e+00,4.970313012599945068e-01,4.765384674072265625e+00
4.970313012599945068e-01,4.970313012599945068e-01,4.595750942826271057e-02,4.970313012599945068e-01,2.128363609313964844e+01,1.088000011444091797e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.430000000000000000e+02,4.300000000000000000e+01,1.267427653074264526e-01,5.101400613784790039e-02,8.945454359054565430e-01,0.000000000000000000e+00,4.970313012599945068e-01,6.268013000488281250e+00
4.970313012599945068e-01,4.970313012599945068e-01,4.688851162791252136e-02,4.970313012599945068e-01,2.096363639831542969e+01,1.088000011444091797e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.380000000000000000e+02,3.800000000000000000e+01,1.262659728527069092e-01,4.795601963996887207e-02,8.909090757369995117e-01,0.000000000000000000e+00,4.970313012599945068e-01,7.680310726165771484e+00
7.065309286117553711e-01,7.065309286117553711e-01,5.889977514743804932e-02,7.065309286117553711e-01,2.129454612731933594e+01,1.554545497894287109e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.480000000000000000e+02,1.100000000000000000e+01,1.254044771194458008e-01,3.906250000000000000e-03,8.890908956527709961e-01,0.000000000000000000e+00,7.065309286117553711e-01,9.088743209838867188e+00
7.065309286117553711e-01,4.970313012599945068e-01,4.630647599697113037e-02,4.970313012599945068e-01,2.063090896606445312e+01,9.239999771118164062e+00,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.340000000000000000e+02,3.400000000000000000e+01,1.253361105918884277e-01,4.223178327083587646e-02,8.872727155685424805e-01,0.000000000000000000e+00,4.970313012599945068e-01,1.074673652648925781e+01
8.232858180999755859e-01,8.232858180999755859e-01,6.729734688997268677e-02,7.693596482276916504e-01,2.092545509338378906e+01,1.309090900421142578e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.259946674108505249e-01,1.171875000000000000e-02,8.890908956527709961e-01,0.000000000000000000e+00,7.633762955665588379e-01,1.222993469238281250e+01
8.232858180999755859e-01,5.357471108436584473e-01,4.925373196601867676e-02,5.336390733718872070e-01,2.103636360168457031e+01,1.345454502105712891e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.266304701566696167e-01,1.562500000000000000e-02,8.909090757369995117e-01,0.000000000000000000e+00,5.315870642662048340e-01,1.371373367309570312e+01
8.232858180999755859e-01,7.051241397857666016e-01,6.678155809640884399e-02,7.051241397857666016e-01,2.204363632202148438e+01,2.631999969482421875e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.308587491512298584e-01,1.171875000000000000e-02,8.836363554000854492e-01,0.000000000000000000e+00,7.051241397857666016e-01,1.528824806213378906e+01
8.899050354957580566e-01,8.899050354957580566e-01,7.761141657829284668e-02,8.372697234153747559e-01,2.347636413574218750e+01,5.436363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.537219732999801636e-01,8.593750000000000000e-02,8.854545354843139648e-01,0.000000000000000000e+00,8.201354742050170898e-01,1.703589439392089844e+01
8.899050354957580566e-01,6.887867450714111328e-01,6.317371129989624023e-02,6.654425263404846191e-01,2.154181861877441406e+01,2.244000053405761719e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.287145614624023438e-01,3.125000000000000000e-02,8.854545354843139648e-01,0.000000000000000000e+00,6.649661064147949219e-01,1.861651229858398438e+01
