r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.623268723487854004e-01,6.623268723487854004e-01,8.094850927591323853e-02,6.235558390617370605e-01,2.365090942382812500e+01,3.375000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.417946666479110718e-01,3.125000000000000000e-02,8.072727322578430176e-01,0.000000000000000000e+00,6.122272610664367676e-01,4.820513725280761719e+00
7.005544900894165039e-01,7.005544900894165039e-01,8.436067402362823486e-02,6.868065595626831055e-01,2.213999938964843750e+01,1.825000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.311030238866806030e-01,2.343750000000000000e-02,8.127272725105285645e-01,0.000000000000000000e+00,6.807383894920349121e-01,6.685597896575927734e+00
7.005544900894165039e-01,6.774610280990600586e-01,7.955637574195861816e-02,5.919892787933349609e-01,2.205999946594238281e+01,1.426666641235351562e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.500000000000000000e+02,1.500000000000000000e+01,1.270745098590850830e-01,1.171875000000000000e-02,8.145454525947570801e-01,0.000000000000000000e+00,5.468260645866394043e-01,8.246167182922363281e+00
7.005544900894165039e-01,6.960959434509277344e-01,9.375285357236862183e-02,6.959326267242431641e-01,2.369090843200683594e+01,2.966666603088378906e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.500000000000000000e+02,1.500000000000000000e+01,1.361189633607864380e-01,1.953125000000000000e-02,8.072727322578430176e-01,0.000000000000000000e+00,6.958546042442321777e-01,9.881472587585449219e+00
7.005544900894165039e-01,6.889715790748596191e-01,7.140075415372848511e-02,5.876408815383911133e-01,2.263272666931152344e+01,1.066666698455810547e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.304350346326828003e-01,1.171875000000000000e-02,8.199999928474426270e-01,0.000000000000000000e+00,5.454506874084472656e-01,1.129189491271972656e+01
7.005544900894165039e-01,6.623787879943847656e-01,8.678482472896575928e-02,6.541779637336730957e-01,2.618363571166992188e+01,6.172727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.650664061307907104e-01,5.859375000000000000e-02,8.109090924263000488e-01,0.000000000000000000e+00,6.488757729530334473e-01,1.320329856872558594e+01
7.005544900894165039e-01,6.889715790748596191e-01,7.489678263664245605e-02,5.850359797477722168e-01,2.270000076293945312e+01,1.107142829895019531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.440000000000000000e+02,8.000000000000000000e+00,1.300630271434783936e-01,3.452701494097709656e-02,8.163636326789855957e-01,0.000000000000000000e+00,5.454506874084472656e-01,1.479782104492187500e+01
7.876811623573303223e-01,7.876811623573303223e-01,9.392553567886352539e-02,7.538473010063171387e-01,2.568727302551269531e+01,4.300000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.554976254701614380e-01,4.687500000000000000e-02,8.109090924263000488e-01,0.000000000000000000e+00,7.477902770042419434e-01,1.664791107177734375e+01
7.876811623573303223e-01,7.739223837852478027e-01,8.748941123485565186e-02,7.460978627204895020e-01,2.304181861877441406e+01,2.036363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.480000000000000000e+02,1.100000000000000000e+01,1.296276152133941650e-01,7.812500000000000000e-03,8.163636326789855957e-01,0.000000000000000000e+00,7.194746136665344238e-01,1.819456481933593750e+01
7.876811623573303223e-01,5.323962569236755371e-01,7.354564219713211060e-02,5.231118798255920410e-01,2.451272773742675781e+01,3.545454406738281250e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.443417519330978394e-01,8.203125000000000000e-02,8.127272725105285645e-01,0.000000000000000000e+00,5.207259058952331543e-01,1.976336669921875000e+01
