r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
4.650133252143859863e-01,4.650133252143859863e-01,4.986783489584922791e-02,4.611225724220275879e-01,1.974363708496093750e+01,2.609090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.828644514083862305e-01,2.343750000000000000e-02,8.054545521736145020e-01,0.000000000000000000e+00,4.603655934333801270e-01,4.748370170593261719e+00
5.279374122619628906e-01,5.279374122619628906e-01,5.541078373789787292e-02,5.245068073272705078e-01,2.098908996582031250e+01,3.036363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.931790351867675781e-01,5.078125000000000000e-02,8.072727322578430176e-01,0.000000000000000000e+00,5.211645364761352539e-01,6.669435501098632812e+00
5.279374122619628906e-01,4.896068871021270752e-01,5.275171995162963867e-02,4.730392098426818848e-01,2.126727294921875000e+01,3.700000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,8.020202517509460449e-01,8.984375000000000000e-02,7.854545712471008301e-01,0.000000000000000000e+00,4.643701910972595215e-01,8.515956878662109375e+00
5.279374122619628906e-01,4.096681177616119385e-01,4.457579553127288818e-02,4.051578342914581299e-01,1.941454505920410156e+01,2.070000076293945312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.000000000000000000e+01,5.500000000000000000e+02,2.000000000000000000e+01,7.816147208213806152e-01,3.906250000000000000e-02,7.945454716682434082e-01,0.000000000000000000e+00,4.035351872444152832e-01,1.004392910003662109e+01
5.279374122619628906e-01,5.085725188255310059e-01,5.538854002952575684e-02,5.059988498687744141e-01,2.008727264404296875e+01,2.590909004211425781e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.877040505409240723e-01,1.171875000000000000e-02,8.054545521736145020e-01,0.000000000000000000e+00,5.045242309570312500e-01,1.171999835968017578e+01
5.388751029968261719e-01,5.388751029968261719e-01,5.241465941071510315e-02,4.912582635879516602e-01,2.030181884765625000e+01,2.536363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.872688174247741699e-01,7.031250000000000000e-02,7.854545712471008301e-01,0.000000000000000000e+00,4.823701381683349609e-01,1.335544967651367188e+01
5.388751029968261719e-01,4.928114712238311768e-01,5.095024406909942627e-02,4.796110391616821289e-01,1.986727333068847656e+01,1.481818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.839734554290771484e-01,2.734375000000000000e-02,7.981818318367004395e-01,0.000000000000000000e+00,4.693481922149658203e-01,1.498192596435546875e+01
5.388751029968261719e-01,4.446212649345397949e-01,4.029157385230064392e-02,3.956951200962066650e-01,1.950545501708984375e+01,7.727272510528564453e+00,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.847106456756591797e-01,4.213835671544075012e-02,8.018181920051574707e-01,0.000000000000000000e+00,3.701735138893127441e-01,1.640703201293945312e+01
5.388751029968261719e-01,4.423290491104125977e-01,4.652972891926765442e-02,4.423290491104125977e-01,1.953636360168457031e+01,1.315999984741210938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.500000000000000000e+01,5.460000000000000000e+02,2.400000000000000000e+01,7.832777500152587891e-01,1.953125000000000000e-02,8.090909123420715332e-01,0.000000000000000000e+00,4.423290491104125977e-01,1.790070343017578125e+01
5.388751029968261719e-01,5.320143103599548340e-01,5.461833253502845764e-02,5.172876715660095215e-01,2.081999969482421875e+01,2.290909004211425781e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.884854078292846680e-01,4.296875000000000000e-02,7.909091114997863770e-01,0.000000000000000000e+00,5.035967230796813965e-01,1.943266487121582031e+01
5.388751029968261719e-01,4.446212649345397949e-01,4.301889613270759583e-02,4.164233505725860596e-01,2.023272705078125000e+01,7.090909004211425781e+00,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.390000000000000000e+02,8.000000000000000000e+00,7.821254730224609375e-01,3.505136445164680481e-02,7.981818318367004395e-01,0.000000000000000000e+00,3.936358392238616943e-01,2.097994995117187500e+01
