r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.067017078399658203e-01,5.067017078399658203e-01,5.126986280083656311e-02,4.964469075202941895e-01,1.939454460144042969e+01,1.809090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.818184494972229004e-01,4.296875000000000000e-02,8.090909123420715332e-01,0.000000000000000000e+00,4.890756607055664062e-01,4.822580337524414062e+00
5.561962723731994629e-01,5.561962723731994629e-01,5.395965650677680969e-02,5.086849927902221680e-01,1.946363639831542969e+01,2.436363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.853327393531799316e-01,7.031250000000000000e-02,7.909091114997863770e-01,0.000000000000000000e+00,4.979669749736785889e-01,6.650199413299560547e+00
5.561962723731994629e-01,4.936164915561676025e-01,5.279308930039405823e-02,4.914977848529815674e-01,1.958909034729003906e+01,2.081818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.856976985931396484e-01,4.687500000000000000e-02,7.854545712471008301e-01,0.000000000000000000e+00,4.906289279460906982e-01,8.452479362487792969e+00
5.561962723731994629e-01,5.444300174713134766e-01,5.519496649503707886e-02,5.340631008148193359e-01,2.085090827941894531e+01,3.900000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.991048097610473633e-01,5.078125000000000000e-02,7.909091114997863770e-01,0.000000000000000000e+00,5.247588157653808594e-01,1.028480815887451172e+01
5.561962723731994629e-01,5.191213488578796387e-01,5.276485532522201538e-02,5.154148340225219727e-01,2.039454460144042969e+01,3.845454406738281250e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.989283800125122070e-01,7.031250000000000000e-02,7.945454716682434082e-01,0.000000000000000000e+00,5.133612751960754395e-01,1.197524833679199219e+01
6.246693730354309082e-01,6.246693730354309082e-01,6.406904757022857666e-02,5.975267291069030762e-01,2.051818275451660156e+01,4.045454406738281250e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.947810888290405273e-01,5.078125000000000000e-02,7.781817913055419922e-01,0.000000000000000000e+00,5.916846394538879395e-01,1.385005760192871094e+01
6.271171569824218750e-01,6.271171569824218750e-01,6.131638213992118835e-02,5.802007913589477539e-01,2.083090972900390625e+01,4.200000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,8.013440370559692383e-01,7.812500000000000000e-02,7.745454311370849609e-01,0.000000000000000000e+00,5.720871686935424805e-01,1.554402923583984375e+01
6.271171569824218750e-01,4.855192005634307861e-01,5.262769758701324463e-02,4.805425703525543213e-01,1.921636390686035156e+01,2.081818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.869468927383422852e-01,5.468750000000000000e-02,7.599999904632568359e-01,0.000000000000000000e+00,4.795092344284057617e-01,1.713950157165527344e+01
6.271171569824218750e-01,5.398551225662231445e-01,5.847305059432983398e-02,5.377722978591918945e-01,1.882181739807128906e+01,2.227272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.837287187576293945e-01,3.906250000000000000e-02,7.454545497894287109e-01,0.000000000000000000e+00,5.347018241882324219e-01,1.882128524780273438e+01
6.271171569824218750e-01,4.936114251613616943e-01,5.480432137846946716e-02,4.882206916809082031e-01,2.036545372009277344e+01,2.800000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.900667190551757812e-01,5.859375000000000000e-02,7.654545307159423828e-01,0.000000000000000000e+00,4.860873818397521973e-01,2.068353462219238281e+01
6.271171569824218750e-01,5.618961453437805176e-01,6.083587929606437683e-02,5.479534864425659180e-01,1.965272712707519531e+01,2.736363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.861184477806091309e-01,8.593750000000000000e-02,7.436363697052001953e-01,0.000000000000000000e+00,5.411861538887023926e-01,2.239605903625488281e+01
6.271171569824218750e-01,5.067017078399658203e-01,5.365854501724243164e-02,4.958811402320861816e-01,1.888181877136230469e+01,1.500000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.000000000000000000e+01,7.746318578720092773e-01,3.906250000000000000e-02,7.654545307159423828e-01,0.000000000000000000e+00,4.873508512973785400e-01,2.409156990051269531e+01
6.271171569824218750e-01,5.281377434730529785e-01,5.590019002556800842e-02,5.103538632392883301e-01,1.945818138122558594e+01,2.509090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.807377576828002930e-01,7.031250000000000000e-02,7.472727298736572266e-01,0.000000000000000000e+00,5.016086101531982422e-01,2.582012176513671875e+01
6.271171569824218750e-01,4.651622474193572998e-01,5.252538248896598816e-02,4.628882110118865967e-01,1.876363563537597656e+01,1.381818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.777064442634582520e-01,3.515625000000000000e-02,7.599999904632568359e-01,0.000000000000000000e+00,4.612342417240142822e-01,2.750785636901855469e+01
6.271171569824218750e-01,5.436221361160278320e-01,5.854564905166625977e-02,5.346403121948242188e-01,2.103454589843750000e+01,3.072727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.931215167045593262e-01,6.250000000000000000e-02,7.636363506317138672e-01,0.000000000000000000e+00,5.325632691383361816e-01,2.924957084655761719e+01
6.271171569824218750e-01,5.008573532104492188e-01,5.552545562386512756e-02,5.003747940063476562e-01,2.005090904235839844e+01,2.361538505554199219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,7.850976586341857910e-01,4.687500000000000000e-02,7.672727108001708984e-01,0.000000000000000000e+00,5.002440810203552246e-01,3.091806411743164062e+01
6.391155123710632324e-01,6.391155123710632324e-01,6.630039215087890625e-02,6.339311003684997559e-01,2.433272743225097656e+01,6.081818008422851562e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,8.177044391632080078e-01,8.593750000000000000e-02,7.545454502105712891e-01,0.000000000000000000e+00,6.331689953804016113e-01,3.277171325683593750e+01
6.391155123710632324e-01,5.155972242355346680e-01,6.040944159030914307e-02,5.044385790824890137e-01,1.995272636413574219e+01,2.445454597473144531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.865899801254272461e-01,8.593750000000000000e-02,7.527272701263427734e-01,0.000000000000000000e+00,5.006437897682189941e-01,3.464320373535156250e+01
