complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.42180882484264254,0,1,[0],"mul,sub,x1,x1,x1",1.8789342998342005,1.8789342998342005,False
6,0.4645166329643095,0,1,[2],"div,add,x1,x1,x1",1.3288912204421863,1.3288912204421863,False
8,0.4821839875540937,0,1,[3],"div,add,x1,add,x1,x1,x1",1.1532550996284945,1.1532550996284945,False
10,0.4946326266386673,0,1,[4],"div,add,x1,add,add,x1,x1,x1,x1",1.043875924736346,1.043875924736346,False
11,0.496746762002508,0,1,[x1/(x1*cos(x1) + x1)],"div,x1,add,mul,x1,cos,x1,x1",1.0263679120887712,1.0263679120887712,False
12,0.49990582351614854,0,1,[5],"div,add,add,x1,add,add,x1,x1,x1,x1,x1",1.0007536957657415,1.0007536957657415,False
13,0.5124774669867583,0,1,[exp(1 - cos(x1))],"exp,sub,div,x1,x1,cos,x1",0.9049817832312094,0.9049817832312094,False
14,0.7100269069279799,0,1,[exp(exp(cos(x1**2)))],"exp,exp,cos,mul,x1,x1",0.16678837921379486,0.16678837921379486,False
18,0.71002690692798,0,1,[exp(exp(cos(x1**2)))],"exp,add,x1,sub,exp,cos,mul,x1,x1,x1",0.16678837921379475,0.16678837921379475,False
19,0.7301356401153656,0,1,[exp(exp(cos(x1**2))) - cos(x1)],"sub,exp,exp,cos,mul,x1,x1,cos,x1",0.13661046468030533,0.13661046468030533,False
21,0.7543649729891483,0,1,[exp(exp(cos(x1**2 - 1/x1)))],"exp,exp,cos,sub,mul,x1,x1,div,x1,mul,x1,x1",0.10602726600872205,0.10602726600872205,False
23,0.7874479208449792,0,1,[exp(exp(cos(x1**2 - 2/x1)))],"exp,exp,cos,sub,mul,x1,x1,div,add,x1,x1,mul,x1,x1",0.07285964213623701,0.07285964213623701,False
28,0.7925562010482881,0,1,[exp(exp(cos(x1**2 + (1 - 2*x1)/x1**2)))],"exp,exp,cos,add,mul,x1,x1,div,sub,sub,div,x1,x1,x1,x1,mul,x1,x1",0.06850791933584453,0.06850791933584453,False
29,0.7944751763027569,0,1,[exp(exp(cos(x1**2 - 2*x1/(x1**2 + x1))))],"exp,exp,cos,add,mul,x1,x1,div,sub,sub,sub,x1,x1,x1,x1,add,mul,x1,x1,x1",0.06692184482129067,0.06692184482129067,False
31,0.7947262315893956,0,1,[exp(exp(cos(x1**2 - (2*x1 - 2)/x1**2)))],"exp,exp,cos,sub,mul,x1,x1,div,div,add,sub,x1,div,add,x1,x1,x1,x1,x1,x1",0.06671627869846264,0.06671627869846264,False
36,0.7947319674352662,0,1,[exp(exp(cos(x1**2 - (2*x1 - (2*x1 - 1)/x1)/x1**2)))],"exp,exp,cos,sub,mul,x1,x1,div,div,add,sub,x1,div,add,sub,x1,div,x1,x1,x1,x1,x1,x1,x1",0.06671158735197048,0.06671158735197048,False
37,0.8004851207285679,0,1,[exp(exp(cos(x1*(-x1 + 1/(-3*x1 + (-x1 + exp(x1))/x1)))))],"exp,exp,cos,mul,x1,sub,div,div,x1,sub,sub,div,sub,exp,x1,x1,x1,add,x1,x1,x1,x1,x1",0.06212180298733907,0.06212180298733907,False
38,0.8030523896852378,0,1,[exp(exp(cos(x1*(-x1 + 1/(-3*x1 + exp(x1)/x1**2)))))],"exp,exp,cos,mul,x1,sub,div,div,x1,sub,sub,div,div,exp,x1,x1,x1,add,x1,x1,x1,x1,x1",0.06014695888044338,0.06014695888044338,False
42,0.8085173702678908,0,1,[exp(exp(cos(x1*(x1 + (-x1 + exp(-x1))/x1**3))))],"exp,exp,cos,mul,add,div,div,div,mul,x1,div,sub,div,div,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.05608930477213112,0.05608930477213112,False
49,0.8144804634965174,0,1,[exp(exp(cos(x1*(x1 + (-x1 + (-x1 + x1*exp(-x1))/x1)/x1**3))))],"exp,exp,cos,mul,add,div,div,div,mul,mul,div,x1,x1,div,sub,div,sub,div,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.051882149171200695,0.051882149171200695,False
64,0.8186956081892026,0,1,[exp(exp(cos(x1*(-x1 + (x1*(2*x1 + exp(x1)/x1**5) - x1)/x1**4))))],"exp,exp,cos,mul,x1,sub,div,div,div,div,sub,div,mul,add,add,div,div,div,div,div,mul,exp,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.04904240136571115,0.04904240136571115,False
74,0.8213456533521507,0,1,[exp(exp(cos(x1*(-x1 + (-x1 + (2*x1 + (-2*x1 + (-x1 + (x1 + exp(x1)/x1)/x1**2)/x1)/x1)/x1**2)/x1) + x1)))],"exp,exp,cos,sub,x1,add,x1,add,mul,x1,mul,div,sub,div,sub,div,div,add,add,div,sub,mul,div,sub,div,sub,div,div,add,div,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.04731242928607925,0.04731242928607925,False
76,0.8213500194885747,0,1,[exp(exp(cos(x1*(-x1 + (-x1 + (2*x1 + (-2*x1 + (-x1 + (2*x1 + exp(x1)/x1)/x1**2)/x1)/x1)/x1**2)/x1) + x1)))],"exp,exp,cos,sub,x1,add,x1,add,mul,x1,mul,div,sub,div,sub,div,div,add,add,div,sub,mul,div,sub,div,sub,div,div,add,add,div,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.04730961379455083,0.04730961379455083,False
112,0.8213508723755449,0,1,[exp(exp(cos(x1*(-x1 + (2*x1 + (-x1 + (x1*(x1 + (-x1 + exp(-x1))/x1) + x1 - exp(x1))/x1**4)*(x1 + 1)/x1**4)/x1**3))))],"exp,exp,cos,mul,x1,sub,div,div,div,div,sub,add,mul,add,add,div,div,div,div,div,mul,mul,add,div,x1,x1,x1,x1,sub,div,div,div,div,sub,add,mul,add,div,sub,mul,mul,div,div,div,x1,x1,x1,mul,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.04730906382591858,0.04730906382591858,False
113,0.8316567968711652,0,1,[exp(exp(cos(x1*(-x1 + (2*x1 + (-2*x1 + 2*(x1*(x1 + (-exp(x1) + exp(-x1))/x1) + x1 - exp(x1))/x1**4)/x1**3)/x1**3))))],"exp,exp,cos,mul,x1,sub,div,div,div,div,sub,add,mul,add,add,div,div,div,div,div,mul,mul,add,x1,x1,x1,sub,div,div,div,div,sub,add,mul,add,div,sub,mul,mul,div,div,div,x1,x1,x1,mul,exp,x1,x1,x1,x1,exp,x1,x1,x1,x1,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.04097348367078659,0.04097348367078659,False
125,0.8424154967449874,0,1,[exp(exp(cos(x1*(-x1 + (-x1 + (2*x1 + (-2*x1 + (-x1 + (x1 + (x1 - exp(-x1))/x1 + exp(x1)/x1)/x1**2)/x1)/x1)/x1**2)/x1) + x1)))],"exp,exp,cos,sub,x1,add,x1,add,mul,x1,mul,div,sub,div,sub,div,div,add,add,div,sub,mul,div,sub,div,sub,div,div,add,add,div,exp,x1,x1,div,add,div,mul,div,div,div,mul,mul,mul,sub,sub,x1,div,mul,div,mul,div,div,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.03499244747468838,0.03499244747468838,False
