Complexity,Loss,Equation
1,30.185509,"5.1507897"
4,27.077436,"(5.1908937 - cos(x0))"
5,17.020304,"(371.07227 / (x0 * x0))"
6,4.34178,"(14.338893 ^ cos(x0 * x0))"
7,3.437013,"(22.788172 ^ sin(cos(x0 * x0)))"
8,2.2410948,"(12.986745 ^ cos((x0 * x0) - -0.29045823))"
9,2.1291769,"(13.328211 ^ sin(cos(x0 / 11.989776) * 1.978018))"
10,1.2464172,"((33.26579 - x0) ^ sin(sin(cos(x0 * x0))))"
11,0.52466697,"(((0.74492735 ^ x0) - -18.139172) ^ sin(cos(x0 * x0)))"
12,0.25048432,"((32.294556 - x0) ^ (cos((x0 * x0) - -0.3669968) - 0.25246346))"
13,0.13412191,"((13.340793 + (x0 * -0.3272427)) ^ sin(cos(x0 / 11.988284) * 1.9941921))"
15,0.11989901,"(((13.340793 + (-0.3272427 * x0)) ^ sin(cos(x0 / -11.869895) * 1.9941921)) + 0.10177226)"
17,0.08780444,"((13.340793 + (x0 * -0.3272427)) ^ sin(cos(x0 / 11.988284) * (1.9941921 - (0.2473367 / x0))))"
18,0.024029829,"((exp(sin(cos(x0 / -0.74696255) / sin(exp(sin(sin(x0 / 5.419543)))))) ^ 2.2533114) / 0.61061615)"
20,0.008242299,"((exp(sin(cos((x0 + 0.016588794) / -0.7465688) / sin(exp(sin(sin(x0 / 5.4220967)))))) ^ 2.2455149) / 0.5964855)"
