V,I,Temp,V_avg,I_avg,Y
0.68309,0.63084,0.0084771,0.8907,0.72464,0.99725
0.74425,0.70388,0.01131,0.87824,0.7214,0.9958
0.76465,0.69525,0.014143,0.85308,0.71765,0.9915
0.91283,0.74702,0.014143,0.86508,0.72354,0.99175
0.81809,0.71665,0.014143,0.86544,0.72384,0.98893
0.63116,0.58937,0.016976,0.86426,0.72321,0.98804
0.55114,0.5736,0.031141,0.7997,0.69442,0.96458
0.90598,0.80312,0.033973,0.79805,0.69475,0.96337
0.88465,0.74699,0.036806,0.81473,0.70639,0.96525
0.66096,0.59816,0.036806,0.81433,0.70593,0.9642
0.7032,0.64859,0.036806,0.81048,0.7038,0.96124
0.76563,0.69757,0.036806,0.8087,0.70349,0.95919
0.97747,0.80762,0.036806,0.81246,0.7063,0.96013
0.87726,0.74699,0.028308,0.8164,0.70887,0.95832
0.8782,0.74691,0.028308,0.8179,0.70981,0.95822
0.87124,0.79874,0.028308,0.81266,0.70769,0.95145
0.97749,0.81502,0.028308,0.81459,0.70904,0.95233
0.87938,0.74689,0.025475,0.81485,0.70981,0.95306
0.83006,0.72992,0.022642,0.81106,0.70913,0.95046
0.82515,0.72593,0.028308,0.81167,0.71126,0.94961
0.80969,0.72037,0.025475,0.80496,0.71033,0.94517
0.88707,0.75134,0.016976,0.82746,0.72418,0.94474
0.69958,0.62779,0.019809,0.83857,0.72895,0.94216
0.72077,0.6571,0.019809,0.83852,0.72895,0.94189
0.89469,0.76853,0.016976,0.83529,0.72671,0.93673
0.82493,0.7245,0.016976,0.83478,0.72646,0.9367
0.83951,0.73354,0.016976,0.83382,0.72601,0.93651
0.78687,0.69673,0.019809,0.83669,0.72877,0.93463
0.82982,0.72982,0.019809,0.83303,0.7273,0.93156
0.87831,0.75621,0.016976,0.83436,0.72864,0.92784
0.71333,0.65745,0.016976,0.83594,0.72951,0.92677
0.87209,0.74689,0.016976,0.8373,0.73167,0.9241
0.83552,0.73802,0.014143,0.83423,0.72981,0.92084
0.84856,0.74415,0.014143,0.834,0.72972,0.92081
0.78798,0.70339,0.014143,0.83766,0.73213,0.91823
0.87486,0.75894,0.014143,0.84097,0.73392,0.91627
0.8695,0.74699,0.014143,0.84431,0.73579,0.91692
0.82621,0.72318,0.016976,0.84304,0.7346,0.9126
0.97762,0.83999,0.014143,0.84064,0.73382,0.90951
0.86557,0.74689,0.01131,0.8421,0.73481,0.9105
0.48879,0.44415,0.019809,0.83805,0.73239,0.90607
0.68854,0.66407,0.028308,0.81312,0.71876,0.88752
0.72768,0.68775,0.028308,0.81206,0.71852,0.88675
0.70741,0.66512,0.031141,0.80177,0.71351,0.8823
0.74539,0.66186,0.031141,0.80436,0.71851,0.8849
0.69997,0.65277,0.031141,0.80059,0.71582,0.88171
0.84661,0.74689,0.028308,0.79658,0.71572,0.88136
0.76466,0.70534,0.028308,0.78864,0.7124,0.87327
0.84776,0.74699,0.028308,0.78779,0.71339,0.87506
0.78548,0.70074,0.028308,0.78668,0.71298,0.87455
0.81812,0.73304,0.025475,0.78779,0.71535,0.87175
0.84497,0.74699,0.028308,0.78668,0.71538,0.87074
0.94273,0.84063,0.022642,0.78421,0.7148,0.8681
0.82929,0.73438,0.019809,0.7891,0.7187,0.86896
0.79199,0.73449,0.019809,0.81212,0.73069,0.8602
0.79681,0.73217,0.019809,0.81126,0.73109,0.85691
0.84309,0.76595,0.019809,0.81019,0.73013,0.85684
0.77286,0.71127,0.019809,0.80862,0.72889,0.85647
0.80126,0.72911,0.019809,0.80849,0.72958,0.8559
0.86261,0.78183,0.019809,0.80974,0.73066,0.85577
0.76029,0.69741,0.019809,0.80852,0.72945,0.8553
0.80293,0.73215,0.014143,0.80977,0.73104,0.85205
0.78322,0.72219,0.016976,0.8077,0.72964,0.85131
0.83309,0.74466,0.022642,0.81046,0.73201,0.85209
0.73683,0.68912,0.016976,0.80656,0.72951,0.84924
0.87052,0.77326,0.016976,0.80853,0.73152,0.85019
0.75805,0.70163,0.01131,0.80584,0.72988,0.84745
0.82347,0.75409,0.014143,0.80436,0.72934,0.84667
0.83475,0.74689,0.016976,0.80882,0.73303,0.84784
0.95515,0.85484,0.019809,0.80807,0.73434,0.842
0.93606,0.83459,0.019809,0.80849,0.73464,0.84222
0.86512,0.76999,0.019809,0.80922,0.7351,0.84257
0.82123,0.75441,0.014143,0.80864,0.73427,0.84049
0.83483,0.74699,0.014143,0.81057,0.73562,0.8413
0.80432,0.72738,0.014143,0.81211,0.73631,0.83967
0.79193,0.73014,0.014143,0.81056,0.73532,0.83723
0.74792,0.69529,0.014143,0.81031,0.73514,0.83703
0.74196,0.70195,0.014143,0.80727,0.73385,0.8333
