r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.844809532165527344e-01,8.844809532165527344e-01,2.174593806266784668e-01,8.707611560821533203e-01,1.414363670349121094e+01,1.736363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.643606901168823242e+00,2.734375000000000000e-02,3.309091031551361084e-01,0.000000000000000000e+00,8.601874709129333496e-01,5.693740844726562500e+00
8.844809532165527344e-01,8.313580751419067383e-01,2.070076465606689453e-01,8.214569687843322754e-01,1.372727298736572266e+01,8.909090995788574219e+00,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.642374396324157715e+00,1.953125000000000000e-02,3.254545331001281738e-01,0.000000000000000000e+00,8.133564591407775879e-01,7.900231361389160156e+00
8.844809532165527344e-01,8.468603491783142090e-01,2.162899374961853027e-01,8.312495946884155273e-01,1.401818180084228516e+01,1.090909099578857422e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.644362330436706543e+00,1.562500000000000000e-02,3.509090840816497803e-01,0.000000000000000000e+00,8.211537599563598633e-01,1.015997600555419922e+01
8.944528102874755859e-01,8.944528102874755859e-01,2.138137072324752808e-01,8.907074928283691406e-01,1.582727241516113281e+01,2.618181800842285156e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.656114459037780762e+00,6.250000000000000000e-02,3.490909039974212646e-01,0.000000000000000000e+00,8.890565633773803711e-01,1.334626102447509766e+01
8.944528102874755859e-01,8.423894643783569336e-01,2.228160649538040161e-01,8.398247361183166504e-01,1.498727226257324219e+01,2.291666603088378906e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.649490118026733398e+00,2.343750000000000000e-02,3.072727322578430176e-01,0.000000000000000000e+00,8.389556407928466797e-01,1.624708557128906250e+01
8.944528102874755859e-01,8.494104146957397461e-01,2.291853129863739014e-01,8.447872400283813477e-01,1.400909137725830078e+01,1.436363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.644194245338439941e+00,7.110276073217391968e-02,3.054545521736145020e-01,0.000000000000000000e+00,8.392061591148376465e-01,1.850276565551757812e+01
8.944528102874755859e-01,8.658472895622253418e-01,2.086777836084365845e-01,8.628181815147399902e-01,1.745999908447265625e+01,4.436363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.669540166854858398e+00,1.054687500000000000e-01,3.509090840816497803e-01,0.000000000000000000e+00,8.604744672775268555e-01,2.137710762023925781e+01
8.944528102874755859e-01,8.557610511779785156e-01,2.203795164823532104e-01,8.513895869255065918e-01,1.473454570770263672e+01,1.800000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.644675254821777344e+00,4.296875000000000000e-02,3.199999928474426270e-01,0.000000000000000000e+00,8.488682508468627930e-01,2.390003585815429688e+01
8.944528102874755859e-01,8.181118965148925781e-01,2.045402079820632935e-01,8.053129911422729492e-01,1.465818214416503906e+01,1.336363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.644962668418884277e+00,7.914326339960098267e-02,3.600000143051147461e-01,0.000000000000000000e+00,7.976667284965515137e-01,2.624804306030273438e+01
8.944528102874755859e-01,8.739955425262451172e-01,2.295387685298919678e-01,8.729553818702697754e-01,1.460909080505371094e+01,1.709090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.639081954956054688e+00,1.171875000000000000e-02,3.127272725105285645e-01,0.000000000000000000e+00,8.712216615676879883e-01,2.872891235351562500e+01
8.944528102874755859e-01,8.612950444221496582e-01,2.155397236347198486e-01,8.605942130088806152e-01,1.492181777954101562e+01,2.081818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.633782148361206055e+00,2.734375000000000000e-02,3.472727239131927490e-01,0.000000000000000000e+00,8.588025569915771484e-01,3.103881072998046875e+01
8.944528102874755859e-01,8.647570013999938965e-01,2.230146080255508423e-01,8.626995086669921875e-01,1.437272739410400391e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.629183650016784668e+00,3.125000000000000000e-02,3.400000035762786865e-01,0.000000000000000000e+00,8.621905446052551270e-01,3.339486312866210938e+01
8.944528102874755859e-01,8.630731701850891113e-01,2.086648941040039062e-01,8.586246371269226074e-01,1.755090904235839844e+01,5.836363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.639370560646057129e+00,1.523437500000000000e-01,3.763636350631713867e-01,0.000000000000000000e+00,8.562672734260559082e-01,3.626353836059570312e+01
8.944528102874755859e-01,8.675842881202697754e-01,2.251878082752227783e-01,8.638879656791687012e-01,1.720727348327636719e+01,3.009090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.100000000000000000e+01,1.610561013221740723e+00,1.431304663419723511e-01,3.181818127632141113e-01,0.000000000000000000e+00,8.594805598258972168e-01,3.855507659912109375e+01
8.944528102874755859e-01,8.838991522789001465e-01,2.162686139345169067e-01,8.796191811561584473e-01,1.516181850433349609e+01,1.772727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.587700128555297852e+00,3.515625000000000000e-02,3.472727239131927490e-01,0.000000000000000000e+00,8.762847781181335449e-01,4.146795654296875000e+01
8.944528102874755859e-01,8.332068920135498047e-01,2.069156467914581299e-01,8.116416931152343750e-01,1.428727245330810547e+01,8.090909004211425781e+00,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.562723517417907715e+00,4.042925685644149780e-02,3.418181836605072021e-01,0.000000000000000000e+00,7.985205054283142090e-01,4.361369323730468750e+01
8.944528102874755859e-01,8.385511636734008789e-01,2.012391984462738037e-01,8.311517834663391113e-01,1.460909080505371094e+01,8.545454978942871094e+00,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.527434945106506348e+00,4.372761398553848267e-02,3.872727155685424805e-01,0.000000000000000000e+00,8.195673227310180664e-01,4.554803466796875000e+01
8.944528102874755859e-01,8.371438384056091309e-01,2.083004862070083618e-01,8.359369039535522461e-01,1.571818161010742188e+01,1.518181800842285156e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.476239562034606934e+00,2.734375000000000000e-02,3.745454549789428711e-01,0.000000000000000000e+00,8.345469236373901367e-01,4.795957946777343750e+01
8.944528102874755859e-01,8.765283226966857910e-01,1.981908380985260010e-01,8.745564818382263184e-01,1.743636322021484375e+01,2.754545402526855469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.472779870033264160e+00,2.343750000000000000e-02,4.181818068027496338e-01,0.000000000000000000e+00,8.710216879844665527e-01,5.061962509155273438e+01
8.944528102874755859e-01,8.803443312644958496e-01,1.846533566713333130e-01,8.568783998489379883e-01,1.534545421600341797e+01,1.363636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.460000000000000000e+02,1.100000000000000000e+01,1.458160638809204102e+00,4.296875000000000000e-02,4.309090971946716309e-01,0.000000000000000000e+00,8.493625521659851074e-01,5.286074447631835938e+01
