r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
7.842066287994384766e-01,7.842066287994384766e-01,2.494243383407592773e-01,7.678439021110534668e-01,1.439454555511474609e+01,2.830769157409667969e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,1.823797225952148438e+00,5.859375000000000000e-02,3.672727346420288086e-01,0.000000000000000000e+00,7.520748376846313477e-01,5.098577499389648438e+00
7.842066287994384766e-01,7.039876580238342285e-01,2.491183876991271973e-01,6.596004962921142578e-01,1.382909107208251953e+01,2.172727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.816378355026245117e+00,7.031250000000000000e-02,3.363636434078216553e-01,0.000000000000000000e+00,6.275942325592041016e-01,7.204840183258056641e+00
7.842066287994384766e-01,6.977263092994689941e-01,2.186654210090637207e-01,6.331231594085693359e-01,1.602000045776367188e+01,3.508333206176757812e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.832111835479736328e+00,2.141155451536178589e-01,4.399999976158142090e-01,0.000000000000000000e+00,6.125223040580749512e-01,9.305296897888183594e+00
7.842066287994384766e-01,6.493834257125854492e-01,2.379382848739624023e-01,6.220054030418395996e-01,1.340909099578857422e+01,1.554545497894287109e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.810512542724609375e+00,9.610855579376220703e-02,3.727272748947143555e-01,0.000000000000000000e+00,6.114528179168701172e-01,1.101149082183837891e+01
8.336156010627746582e-01,8.336156010627746582e-01,2.352606654167175293e-01,7.586532831192016602e-01,1.441454505920410156e+01,2.827272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.817762732505798340e+00,5.859375000000000000e-02,3.927272856235504150e-01,0.000000000000000000e+00,7.333210706710815430e-01,1.279894161224365234e+01
8.336156010627746582e-01,6.379374861717224121e-01,2.261205166578292847e-01,6.233046650886535645e-01,1.609818267822265625e+01,3.500000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.824043035507202148e+00,5.078125000000000000e-02,4.109090864658355713e-01,0.000000000000000000e+00,6.190190911293029785e-01,1.502094841003417969e+01
8.336156010627746582e-01,7.852026224136352539e-01,2.372990697622299194e-01,7.398844361305236816e-01,1.466545486450195312e+01,3.018181800842285156e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.813239455223083496e+00,9.375000000000000000e-02,3.781818151473999023e-01,0.000000000000000000e+00,6.695808172225952148e-01,1.687883377075195312e+01
8.336156010627746582e-01,6.888533830642700195e-01,2.291045635938644409e-01,6.813821792602539062e-01,1.519818210601806641e+01,2.675000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.805880188941955566e+00,3.906250000000000000e-02,3.963636457920074463e-01,0.000000000000000000e+00,6.757825613021850586e-01,1.882208633422851562e+01
8.336156010627746582e-01,6.920915246009826660e-01,2.212501466274261475e-01,6.353214979171752930e-01,1.511999988555908203e+01,1.863636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.802112340927124023e+00,8.497903496026992798e-02,4.309090971946716309e-01,0.000000000000000000e+00,6.183890700340270996e-01,2.082697105407714844e+01
8.336156010627746582e-01,5.895724892616271973e-01,2.068700492382049561e-01,5.794561505317687988e-01,1.421090888977050781e+01,1.572727298736572266e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.783386111259460449e+00,3.125000000000000000e-02,4.381818175315856934e-01,0.000000000000000000e+00,5.702540278434753418e-01,2.266663932800292969e+01
