r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.982486009597778320e-01,5.982486009597778320e-01,1.319236457347869873e-01,5.974981188774108887e-01,2.569454574584960938e+01,3.727272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.665980964899063110e-01,4.687500000000000000e-02,5.890908837318420410e-01,0.000000000000000000e+00,5.970883369445800781e-01,4.958725929260253906e+00
6.099653840065002441e-01,6.099653840065002441e-01,1.278432011604309082e-01,6.089924573898315430e-01,2.710000038146972656e+01,5.164285659790039062e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.500000000000000000e+02,1.400000000000000000e+01,1.755034178495407104e-01,5.859375000000000000e-02,6.036363840103149414e-01,0.000000000000000000e+00,6.081982254981994629e-01,7.198639869689941406e+00
6.099653840065002441e-01,5.246996879577636719e-01,1.243832781910896301e-01,5.241984128952026367e-01,2.329999923706054688e+01,3.000000000000000000e+01,-1.000000000000000000e+00,5.490000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.100000000000000000e+01,1.440804451704025269e-01,7.031250000000000000e-02,5.727272629737854004e-01,0.000000000000000000e+00,5.240127444267272949e-01,9.175119400024414062e+00
6.099653840065002441e-01,5.997045636177062988e-01,1.359276324510574341e-01,5.995174646377563477e-01,3.182545471191406250e+01,1.468181762695312500e+02,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,2.395559549331665039e-01,2.460937500000000000e-01,5.618181824684143066e-01,0.000000000000000000e+00,5.988907217979431152e-01,1.180587959289550781e+01
6.099653840065002441e-01,6.070086359977722168e-01,1.263768672943115234e-01,5.459160208702087402e-01,2.199818229675292969e+01,1.233333301544189453e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.284661144018173218e-01,1.171875000000000000e-02,5.618181824684143066e-01,0.000000000000000000e+00,5.075906515121459961e-01,1.331727313995361328e+01
6.099653840065002441e-01,5.967501997947692871e-01,1.144325882196426392e-01,5.966303944587707520e-01,2.257636451721191406e+01,1.800000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.287542581558227539e-01,7.812500000000000000e-03,6.090909242630004883e-01,0.000000000000000000e+00,5.965906977653503418e-01,1.484922981262207031e+01
6.099653840065002441e-01,5.967698097229003906e-01,1.340068280696868896e-01,5.967274308204650879e-01,2.612909126281738281e+01,6.753845977783203125e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,1.644516587257385254e-01,1.406250000000000000e-01,5.781818032264709473e-01,0.000000000000000000e+00,5.967078804969787598e-01,1.686862182617187500e+01
6.099653840065002441e-01,5.972449779510498047e-01,1.390827745199203491e-01,5.970286130905151367e-01,2.534727287292480469e+01,5.162068939208984375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.900000000000000000e+01,5.500000000000000000e+02,2.900000000000000000e+01,1.559505611658096313e-01,4.687500000000000000e-02,5.727272629737854004e-01,0.000000000000000000e+00,5.970020890235900879e-01,1.898739242553710938e+01
7.839483618736267090e-01,7.839483618736267090e-01,1.306067109107971191e-01,7.809497714042663574e-01,2.343090820312500000e+01,2.833333396911621094e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.500000000000000000e+02,1.500000000000000000e+01,1.359065324068069458e-01,2.343750000000000000e-02,6.054545640945434570e-01,0.000000000000000000e+00,7.802941799163818359e-01,2.078197288513183594e+01
7.839483618736267090e-01,6.324945092201232910e-01,1.277922391891479492e-01,6.052127480506896973e-01,2.452181816101074219e+01,3.554545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.412819474935531616e-01,6.250000000000000000e-02,6.054545640945434570e-01,0.000000000000000000e+00,5.867871046066284180e-01,2.277032089233398438e+01
7.839483618736267090e-01,5.969143509864807129e-01,1.214644163846969604e-01,5.968777537345886230e-01,2.639090919494628906e+01,4.018181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.641965955495834351e-01,3.125000000000000000e-02,6.418181657791137695e-01,0.000000000000000000e+00,5.968639254570007324e-01,2.477337265014648438e+01
