r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.245272731781005859e+01,1.245272731781005859e+01,-1.000000000000000000e+00,5.300000000000000000e+02,5.300000000000000000e+02,5.300000000000000000e+02,5.300000000000000000e+02,1.958851099014282227e+00,1.958851099014282227e+00,2.436363697052001953e-01,2.436363697052001953e-01,0.000000000000000000e+00,4.979198455810546875e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.228727245330810547e+01,1.228727245330810547e+01,-1.000000000000000000e+00,5.310000000000000000e+02,5.310000000000000000e+02,5.310000000000000000e+02,5.310000000000000000e+02,1.958633184432983398e+00,1.958633184432983398e+00,2.763636410236358643e-01,2.763636410236358643e-01,0.000000000000000000e+00,7.002799034118652344e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.233090877532958984e+01,1.233090877532958984e+01,-1.000000000000000000e+00,5.320000000000000000e+02,5.320000000000000000e+02,5.320000000000000000e+02,5.320000000000000000e+02,1.956156492233276367e+00,1.956156492233276367e+00,2.581818103790283203e-01,2.581818103790283203e-01,0.000000000000000000e+00,8.926691055297851562e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.246909046173095703e+01,1.246909046173095703e+01,-1.000000000000000000e+00,5.330000000000000000e+02,5.330000000000000000e+02,5.330000000000000000e+02,5.330000000000000000e+02,1.955779194831848145e+00,1.955779194831848145e+00,3.236363530158996582e-01,3.236363530158996582e-01,0.000000000000000000e+00,1.079678821563720703e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.248545455932617188e+01,1.248545455932617188e+01,-1.000000000000000000e+00,5.360000000000000000e+02,5.360000000000000000e+02,5.360000000000000000e+02,5.360000000000000000e+02,1.954786539077758789e+00,1.954786539077758789e+00,2.745454609394073486e-01,2.745454609394073486e-01,0.000000000000000000e+00,1.275504398345947266e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.218727302551269531e+01,1.218727302551269531e+01,-1.000000000000000000e+00,5.360000000000000000e+02,5.360000000000000000e+02,5.360000000000000000e+02,5.360000000000000000e+02,1.952793598175048828e+00,1.952793598175048828e+00,2.618181705474853516e-01,2.618181705474853516e-01,0.000000000000000000e+00,1.458076667785644531e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.235454559326171875e+01,1.235454559326171875e+01,-1.000000000000000000e+00,5.300000000000000000e+02,5.300000000000000000e+02,5.300000000000000000e+02,5.300000000000000000e+02,1.951195955276489258e+00,1.951195955276489258e+00,2.981818318367004395e-01,2.981818318367004395e-01,0.000000000000000000e+00,1.639446067810058594e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.223999977111816406e+01,1.223999977111816406e+01,-1.000000000000000000e+00,5.320000000000000000e+02,5.320000000000000000e+02,5.320000000000000000e+02,5.320000000000000000e+02,1.947641968727111816e+00,1.947641968727111816e+00,2.145454585552215576e-01,2.145454585552215576e-01,0.000000000000000000e+00,1.821860694885253906e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.230727291107177734e+01,1.230727291107177734e+01,-1.000000000000000000e+00,5.320000000000000000e+02,5.320000000000000000e+02,5.320000000000000000e+02,5.320000000000000000e+02,1.946212530136108398e+00,1.946212530136108398e+00,2.854545414447784424e-01,2.854545414447784424e-01,0.000000000000000000e+00,2.018874931335449219e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.186181831359863281e+01,1.186181831359863281e+01,-1.000000000000000000e+00,5.370000000000000000e+02,5.370000000000000000e+02,5.370000000000000000e+02,5.370000000000000000e+02,1.940928101539611816e+00,1.940928101539611816e+00,2.509090900421142578e-01,2.509090900421142578e-01,0.000000000000000000e+00,2.200345420837402344e+01
