r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
7.147320508956909180e-01,7.147320508956909180e-01,1.667114049196243286e-01,7.131448388099670410e-01,2.247636413574218750e+01,2.090909004211425781e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.297058016061782837e-01,1.953125000000000000e-02,6.200000047683715820e-01,0.000000000000000000e+00,7.114571928977966309e-01,1.814079284667968750e+00
7.958259582519531250e-01,7.958259582519531250e-01,1.723847538232803345e-01,7.763562798500061035e-01,2.346181869506835938e+01,3.790909194946289062e+01,-1.000000000000000000e+00,5.490000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.100000000000000000e+01,1.449488550424575806e-01,6.640625000000000000e-02,5.763636231422424316e-01,0.000000000000000000e+00,7.372265458106994629e-01,3.517163991928100586e+00
9.044620990753173828e-01,9.044620990753173828e-01,1.953686624765396118e-01,9.044565558433532715e-01,2.349454498291015625e+01,3.854545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.493889540433883667e-01,4.687500000000000000e-02,5.654545426368713379e-01,0.000000000000000000e+00,9.044502377510070801e-01,5.266868591308593750e+00
9.044620990753173828e-01,6.455801129341125488e-01,1.547527760267257690e-01,5.975973606109619141e-01,2.171818161010742188e+01,1.684615325927734375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,1.272552311420440674e-01,3.125000000000000000e-02,5.927272439002990723e-01,0.000000000000000000e+00,5.884097218513488770e-01,6.799707412719726562e+00
9.044620990753173828e-01,7.642055153846740723e-01,1.723271757364273071e-01,7.342570424079895020e-01,2.333636283874511719e+01,3.090909004211425781e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.421945542097091675e-01,1.953125000000000000e-02,5.799999833106994629e-01,0.000000000000000000e+00,7.245624065399169922e-01,8.463544845581054688e+00
9.250237345695495605e-01,9.250237345695495605e-01,1.898942440748214722e-01,8.972623348236083984e-01,2.463454627990722656e+01,5.172727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.598381102085113525e-01,4.296875000000000000e-02,5.654545426368713379e-01,0.000000000000000000e+00,8.724706768989562988e-01,1.045370483398437500e+01
9.250237345695495605e-01,7.501128911972045898e-01,1.844456046819686890e-01,7.482112646102905273e-01,2.478363609313964844e+01,4.981818008422851562e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.567634493112564087e-01,3.906250000000000000e-03,5.636363625526428223e-01,0.000000000000000000e+00,7.473254799842834473e-01,1.216298866271972656e+01
9.273357391357421875e-01,9.273357391357421875e-01,1.995372176170349121e-01,9.249387979507446289e-01,2.250000000000000000e+01,2.245454597473144531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.322183012962341309e-01,2.343750000000000000e-02,5.909090638160705566e-01,0.000000000000000000e+00,9.234274029731750488e-01,1.371952438354492188e+01
9.273357391357421875e-01,7.478016018867492676e-01,1.721152067184448242e-01,7.291548252105712891e-01,2.664545440673828125e+01,5.354545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.750546693801879883e-01,5.859375000000000000e-02,5.818181633949279785e-01,0.000000000000000000e+00,7.223787307739257812e-01,1.552455234527587891e+01
9.273357391357421875e-01,8.741316795349121094e-01,1.954967826604843140e-01,8.524932265281677246e-01,2.344181823730468750e+01,3.075000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.459479928016662598e-01,6.640625000000000000e-02,5.472727417945861816e-01,0.000000000000000000e+00,8.417256474494934082e-01,1.730398750305175781e+01
