complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.445639106016518,0,1,[0],"mul,sub,x1,x1,x1",1.547456979878478,1.547456979878478,False
6,0.4718913224934853,0,1,[2],"div,add,x1,x1,x1",1.252456423851014,1.252456423851014,False
8,0.48283642073121746,0,1,[3],"div,add,x1,add,x1,x1,x1",1.1472440695797512,1.1472440695797512,False
10,0.49766307496391593,0,1,[exp(2)],"exp,div,add,x1,x1,x1",1.018871392160704,1.018871392160704,False
14,0.6889715657309289,0,1,[exp(exp(cos(x1**2)))],"exp,exp,cos,mul,x1,x1",0.20379690811174023,0.20379690811174023,False
18,0.688971565730929,0,1,[exp(exp(cos(x1**2)))],"exp,exp,add,sub,cos,mul,x1,x1,x1,x1",0.20379690811174,0.20379690811174,False
19,0.8011960767111423,0,1,[exp(3*cos(x1**2))],"exp,div,mul,cos,mul,x1,x1,add,add,x1,x1,x1,x1",0.061570442307774295,0.061570442307774295,False
28,0.8011960767111426,0,1,[exp(3*cos(x1**2))],"exp,add,add,cos,mul,x1,x1,sub,add,x1,cos,mul,x1,x1,x1,cos,mul,x1,x1",0.06157044230777419,0.06157044230777419,False
30,0.812368502800493,0,1,[exp(3*cos(x1*(-x1 + x1**(-2))))],"exp,mul,cos,mul,x1,sub,div,div,div,x1,x1,x1,x1,x1,div,add,add,x1,x1,x1,x1",0.05334642675985785,0.05334642675985785,False
42,0.8186708764667596,0,1,[exp(exp(3/x1**2) + cos(x1**2) + cos(2*x1**2))],"exp,add,cos,div,mul,x1,x1,div,x1,x1,add,cos,mul,x1,add,x1,x1,exp,div,add,x1,add,x1,x1,mul,x1,mul,x1,x1",0.04905874597720139,0.04905874597720139,False
43,0.8283006991862392,0,1,[exp(2*cos(x1**2) + cos(x1**2 - exp(x1)/x1**2))],"exp,add,cos,mul,x1,x1,add,cos,add,add,div,sub,sub,x1,exp,x1,x1,mul,x1,x1,sub,x1,x1,mul,x1,x1,cos,mul,x1,x1",0.04296956898109783,0.04296956898109783,False
45,0.8420238569228521,0,1,[exp(2*cos(x1**2) + cos(x1**2 + (-x1 - exp(x1))/x1**2))],"exp,add,cos,mul,x1,x1,add,cos,add,add,div,sub,sub,sub,x1,x1,exp,x1,x1,mul,x1,x1,sub,x1,x1,mul,x1,x1,cos,mul,x1,x1",0.035199315659111954,0.035199315659111954,False
