r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.069282650947570801e-01,5.069282650947570801e-01,3.395384550094604492e-02,4.027287960052490234e-01,2.210363578796386719e+01,2.100000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.296268105506896973e-01,1.562500000000000000e-02,8.981817960739135742e-01,0.000000000000000000e+00,3.791181743144989014e-01,4.594468116760253906e+00
5.232715010643005371e-01,5.232715010643005371e-01,3.999552875757217407e-02,5.014123320579528809e-01,2.197636413574218750e+01,1.645454597473144531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.293688416481018066e-01,2.343750000000000000e-02,8.963636159896850586e-01,0.000000000000000000e+00,4.953854382038116455e-01,6.236399650573730469e+00
5.232715010643005371e-01,5.082651376724243164e-01,3.724307566881179810e-02,4.675357937812805176e-01,2.163454627990722656e+01,1.430769252777099609e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.450000000000000000e+02,8.000000000000000000e+00,1.271776109933853149e-01,1.171875000000000000e-02,8.981817960739135742e-01,0.000000000000000000e+00,4.040362238883972168e-01,7.626542091369628906e+00
5.232715010643005371e-01,3.632391691207885742e-01,3.325734660029411316e-02,3.625850975513458252e-01,2.260000038146972656e+01,3.063636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.351491510868072510e-01,5.078125000000000000e-02,8.981817960739135742e-01,0.000000000000000000e+00,3.616747558116912842e-01,9.353363037109375000e+00
5.232715010643005371e-01,4.586365520954132080e-01,4.072988033294677734e-02,4.468368291854858398e-01,2.310545539855957031e+01,1.909090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.373604536056518555e-01,3.125000000000000000e-02,9.018181562423706055e-01,0.000000000000000000e+00,4.432458579540252686e-01,1.094103145599365234e+01
7.599819302558898926e-01,7.599819302558898926e-01,5.508708208799362183e-02,6.182504892349243164e-01,2.201272773742675781e+01,2.261111068725585938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.500000000000000000e+02,1.800000000000000000e+01,1.303697228431701660e-01,3.515625000000000000e-02,8.963636159896850586e-01,0.000000000000000000e+00,5.997533202171325684e-01,1.251653194427490234e+01
8.088828325271606445e-01,8.088828325271606445e-01,6.730268150568008423e-02,7.541176676750183105e-01,2.265818214416503906e+01,2.416666603088378906e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.381404101848602295e-01,3.906250000000000000e-02,8.945454359054565430e-01,0.000000000000000000e+00,7.399163246154785156e-01,1.419782829284667969e+01
8.088828325271606445e-01,7.141235470771789551e-01,5.737797543406486511e-02,6.826073527336120605e-01,2.214909172058105469e+01,2.072727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.328484266996383667e-01,3.906250000000000000e-02,9.018181562423706055e-01,0.000000000000000000e+00,6.232883334159851074e-01,1.588339424133300781e+01
8.088828325271606445e-01,4.998574256896972656e-01,3.682925924658775330e-02,4.500439167022705078e-01,2.123272705078125000e+01,1.327272701263427734e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.360000000000000000e+02,7.000000000000000000e+00,1.252683103084564209e-01,1.562500000000000000e-02,8.927272558212280273e-01,0.000000000000000000e+00,4.040362238883972168e-01,1.728455543518066406e+01
8.088828325271606445e-01,7.201866507530212402e-01,5.143356695771217346e-02,6.097308993339538574e-01,2.258727264404296875e+01,2.081818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.369689255952835083e-01,4.296875000000000000e-02,8.909090757369995117e-01,0.000000000000000000e+00,5.819048285484313965e-01,1.878552055358886719e+01
