r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.430783867835998535e-01,6.430783867835998535e-01,6.029087305068969727e-02,6.007382273674011230e-01,2.174545478820800781e+01,4.427272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,8.052493929862976074e-01,1.523437500000000000e-01,7.836363911628723145e-01,0.000000000000000000e+00,5.725562572479248047e-01,1.965957164764404297e+00
6.430783867835998535e-01,5.148465633392333984e-01,4.889110848307609558e-02,4.857712388038635254e-01,1.869818115234375000e+01,1.263636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.793917059898376465e-01,2.734375000000000000e-02,8.109090924263000488e-01,0.000000000000000000e+00,4.602271914482116699e-01,3.455053329467773438e+00
6.430783867835998535e-01,5.408557057380676270e-01,5.553030967712402344e-02,5.222981572151184082e-01,1.994363594055175781e+01,2.327272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.886036038398742676e-01,5.468750000000000000e-02,8.000000119209289551e-01,0.000000000000000000e+00,5.077099204063415527e-01,5.148359298706054688e+00
6.430783867835998535e-01,5.915129184722900391e-01,5.079210549592971802e-02,5.085629224777221680e-01,1.952363586425781250e+01,1.875000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.490000000000000000e+02,1.200000000000000000e+01,7.877661585807800293e-01,2.343750000000000000e-02,8.109090924263000488e-01,0.000000000000000000e+00,4.830741584300994873e-01,6.768284320831298828e+00
6.430783867835998535e-01,4.423290491104125977e-01,4.740605875849723816e-02,4.277597069740295410e-01,1.958545494079589844e+01,1.827272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.000000000000000000e+01,7.860929369926452637e-01,3.906250000000000000e-02,7.909091114997863770e-01,0.000000000000000000e+00,4.156854748725891113e-01,8.336030006408691406e+00
6.430783867835998535e-01,4.453899860382080078e-01,4.648911580443382263e-02,4.112351536750793457e-01,1.831818199157714844e+01,1.072727298736572266e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.460000000000000000e+02,1.000000000000000000e+01,7.834914326667785645e-01,5.922916531562805176e-02,7.781817913055419922e-01,0.000000000000000000e+00,3.937518298625946045e-01,9.748029708862304688e+00
6.430783867835998535e-01,5.677691698074340820e-01,5.600751936435699463e-02,5.351788997650146484e-01,1.985090827941894531e+01,2.317646980285644531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.700000000000000000e+01,5.500000000000000000e+02,1.700000000000000000e+01,7.865890264511108398e-01,4.296875000000000000e-02,8.036363720893859863e-01,0.000000000000000000e+00,5.288389921188354492e-01,1.127854251861572266e+01
6.430783867835998535e-01,4.423290491104125977e-01,4.609252512454986572e-02,4.230346977710723877e-01,1.907999992370605469e+01,1.054545497894287109e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.450000000000000000e+02,8.000000000000000000e+00,7.839956283569335938e-01,1.562500000000000000e-02,7.963636517524719238e-01,0.000000000000000000e+00,3.816369771957397461e-01,1.267062473297119141e+01
6.430783867835998535e-01,4.826761186122894287e-01,5.027639493346214294e-02,4.631531536579132080e-01,1.935454559326171875e+01,1.609090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.100000000000000000e+01,7.822015285491943359e-01,2.734375000000000000e-02,7.799999713897705078e-01,0.000000000000000000e+00,4.446212649345397949e-01,1.411755752563476562e+01
6.430783867835998535e-01,5.153115391731262207e-01,5.386536568403244019e-02,4.844237864017486572e-01,1.918727302551269531e+01,1.584615421295166016e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,7.763052582740783691e-01,1.171875000000000000e-02,7.690908908843994141e-01,0.000000000000000000e+00,4.751980006694793701e-01,1.567791843414306641e+01
6.430783867835998535e-01,5.475071072578430176e-01,5.895765125751495361e-02,5.390084981918334961e-01,2.099090957641601562e+01,3.718181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.800162434577941895e-01,8.593750000000000000e-02,7.890909314155578613e-01,0.000000000000000000e+00,5.351648926734924316e-01,1.757579612731933594e+01
6.430783867835998535e-01,5.633992552757263184e-01,5.844030529260635376e-02,5.620144605636596680e-01,2.162181854248046875e+01,4.254545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,7.621722817420959473e-01,8.593750000000000000e-02,7.854545712471008301e-01,0.000000000000000000e+00,5.612860918045043945e-01,1.929006195068359375e+01
6.430783867835998535e-01,4.423290491104125977e-01,4.889167845249176025e-02,4.097847044467926025e-01,1.948363685607910156e+01,1.390909099578857422e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.470000000000000000e+02,8.000000000000000000e+00,7.151435613632202148e-01,4.296875000000000000e-02,7.636363506317138672e-01,0.000000000000000000e+00,3.998164534568786621e-01,2.071636962890625000e+01
