seed,r,nmse_test,nmse_test_noiseless,success,expression,traversal,error_log,error_true_divide,error_exp,error_multiply,error_node_divide,error_node_invalid,error_node_underflow,error_node_overflow,n_epochs,n_samples,n_cached,t
0,0.6558016919786116,0.2754687869823895,0.2754687869823895,False,[-2*x2/log(x2) + log(x2) + sin(2*x2/log(x2*(x1 + x2)/((x2 + x2/log(x2))*log(x2*(x1 + x2)/((x2 + 1)*log(2*x2 + x2/log(log(x2)))) + 3*x2)) + x2 + (x1 + x2)/(x2*(x2 + x2/log(x2))))) + sin((x1 + x2)/log(x2 + log(x2) + log(log(x2)) + 1))],"sub,sub,add,sin,div,div,add,x2,x1,div,log,add,add,add,div,x2,x2,x2,log,x2,log,log,x2,x2,x2,add,x2,sub,add,sin,div,div,add,x2,x2,div,log,add,add,div,div,div,add,x2,x1,div,x2,x2,add,div,x2,log,x2,x2,x2,x2,div,div,div,add,x2,x1,div,div,log,add,add,add,div,div,div,add,x2,x1,div,div,log,add,add,div,x2,log,log,x2,x2,x2,x2,x2,add,div,x2,x2,x2,x2,x2,x2,x2,x2,x2,add,div,x2,log,x2,x2,x2,x2,x2,add,x2,log,x2,x2,div,div,add,x2,x2,div,log,x2,x2,x2,x2",224483,119441,55052,57,208050,135871,4976,50136,247,2006255,1168018,494.0160031318665
1,0.7047101355800964,0.17558040448401346,0.17558040448401346,False,[(-5*x2 + (x1 + sin(x2*(x1 - x2)))*(2*x2*(x1 - x2) - 5*x2 + cos(x1) + cos(exp(x2)))/x2**2)/x2],"div,sub,mul,div,add,x1,sin,mul,sub,x1,x2,x2,x2,div,add,cos,exp,x2,sub,mul,x2,div,add,cos,x1,mul,sub,x1,x2,add,x2,x2,x2,add,add,add,x2,add,x2,x2,x2,x2,x2,add,add,add,x2,add,x2,x2,x2,x2,x2",218484,94874,86595,5,182017,131340,8058,78543,247,2006494,1180867,499.56156516075134
2,0.7120579123925747,0.16352330819624808,0.16352330819624808,False,[(x2 + (x1 + x2)*(-x1 + 2*x2 + cos(x1*x2/(x2 - (-x2 + exp(x2)/x2)*log(x2))))/x2)/(-x2 + log(x2 + sin(x1/x2) + (x1*x2 - x1 + 3*x2 - (2*x2 + cos(x1*x2/(x1 - (-x2 + exp(x2)/x2)*log(x2))))/x2)/x2))],"div,add,mul,add,x1,x2,div,sub,add,add,add,sub,x2,x2,add,x2,cos,div,mul,x1,x2,sub,x2,mul,log,x2,sub,div,exp,x2,x2,x2,x2,sub,x1,x1,x1,x2,x2,sub,log,add,add,sin,div,sub,add,x1,x2,x2,x2,div,sub,add,add,add,sub,x2,div,sub,add,add,add,sub,x2,x2,add,x2,cos,div,mul,x1,x2,sub,x1,mul,log,x2,sub,div,exp,x2,x2,x2,x2,x1,x1,x2,x2,x2,mul,x2,x1,x1,x2,x2,x2",265308,108146,61932,8,214546,158906,5538,56404,247,2007727,1172908,495.83069729804987
3,0.6143822377928457,0.3939460562357297,0.3939460562357297,False,[(-x1*log(x1 + x2)/x2**2 - 5*x2 + exp(-x1 + x1/x2) - exp(sin(x1)))/x2],"div,sub,sub,sub,sub,exp,sub,div,x1,x2,x1,x2,add,add,add,mul,x1,div,log,add,x1,x2,mul,x2,x2,exp,sin,x1,x2,x2,x2,x2,x2",260035,90310,77293,1,197552,152791,6646,70650,247,2007792,1095433,455.8109250068665
4,0.7139684836538236,0.16049802558760748,0.16049802558760748,False,[sin((2*x1 + 4*x2)/x2) - (x1 + 3*x2 + exp(cos(x2)) + log(x1 + 2*x2) + cos(x2) + E)/x2],"sub,sin,div,add,add,add,add,add,x2,x2,x1,x2,x2,x1,x2,div,add,add,add,add,add,add,add,log,sub,add,x2,add,x2,add,x1,x1,x1,exp,cos,x2,exp,div,x2,x2,x2,x2,x1,cos,x2,x2,x2",225647,133361,52361,24,224473,134533,3723,48664,247,2005912,1148757,494.6730766296387
5,0.6912085387140384,0.19957786685171489,0.19957786685171489,False,[x2*(-exp(exp(x1/(x2 + exp((3*x1 + 4*x2 + sin(x1))/x2) - exp(exp(x1/(x1 + x2 + exp((2*x1 + 4*x2 + sin(6*x2 + log(x2*(x2*(x1 + 2*x2 + log(x2)) - x2 + 1))))/x2)))) + exp(exp((sin(x2) + (2*x1 + 4*x2 + sin(x1) + cos(x2))/(2*x2))/(x1 + x2 + exp(x2*exp(-x1 - x2) + x2))))))) + log(x2))],"mul,x2,sub,log,x2,exp,exp,div,x1,add,add,exp,div,add,add,add,add,add,add,add,x1,x1,x2,x1,x2,x2,x2,sin,x1,x2,sub,x2,exp,exp,div,x1,add,add,exp,div,add,add,add,add,add,add,sin,add,add,add,add,x2,x2,x2,add,x2,add,log,add,sub,mul,add,div,x2,x2,sub,mul,add,add,add,log,x2,x2,x2,x1,x2,x2,x2,x2,x2,x2,x2,x1,x2,x1,x2,x2,x2,x2,x1,x2,exp,exp,div,add,sin,x2,div,add,add,add,add,add,add,add,sin,x1,x1,x2,x1,x2,x2,x2,cos,x2,add,x2,x2,add,add,exp,add,div,x2,exp,add,x1,x2,x2,x1,x2",206438,122778,62096,17,198337,130876,5448,56668,247,2005202,1215968,501.77581000328064
6,0.6915576981789469,0.19892576220104216,0.19892576220104216,False,[(-x1*cos(x1/x2) - x1*(-x1 + x1*exp(-exp(-sin(x1**2*x2*(x1 + x2) - x2)))*cos(x2) + x2)/(x1*cos(x1/x2) + x2) - 5*x2 + sin(x2)*cos(x1)/(x2*(x1 + x2)))/x2],"div,add,sub,sub,sub,x2,sub,x2,div,sin,x2,div,mul,x2,add,x1,x2,cos,mul,div,mul,x2,div,x2,x2,x2,x1,x2,x2,sub,x2,add,add,mul,div,mul,x2,cos,div,x1,x2,x2,x1,x2,add,add,add,mul,div,mul,sub,x2,sub,x1,div,x1,div,exp,exp,sin,sub,x2,mul,x1,mul,x1,mul,x2,add,x1,x2,cos,x2,div,x2,add,mul,div,mul,x2,cos,div,x1,x2,x2,x1,x2,x2,x1,x2,x2,x2,x2",265449,113730,42244,123,226889,152287,4442,37928,247,2007249,1156824,477.0046792030335
7,0.6817916800290856,0.21783099083632654,0.21783099083632654,False,[-exp(cos(log(2*log(x2)))) + sin(log(x2) + (2*x1 + 2*x2)/x2) - (x1 + 3*x2)/x2],"sub,sin,add,div,add,add,add,x1,x1,x2,x2,x2,log,x2,add,div,add,add,add,x2,x1,x2,x2,x2,exp,cos,log,add,log,x2,log,x2",263823,100709,48201,1,208912,155619,4990,43213,247,2006742,1163986,482.3160371780396
8,0.6623902855113204,0.2597777555535168,0.2597777555535168,False,[-x2 + log(x2 + x2*exp(-x1) + exp(x1 - x2)) - 2*cos(x2)],"sub,log,add,add,x2,exp,sub,log,x2,x1,exp,sub,x1,x2,add,cos,x2,add,cos,x2,x2",280163,102080,68713,14,227128,155111,4509,64222,247,2006267,1120839,464.4978840351105
9,0.6501014867812512,0.28968224372789864,0.28968224372789864,False,[x1*exp(-cos(2*x1/(2*x1 + 3*x2)) - cos(x1/(2*x2 + log(x2)))) - exp(cos(x1*exp(-2*x1 - 3*x2)) + cos(2*x2/(2*x1 + 2*x2)))],"sub,div,x1,exp,add,cos,div,x1,add,add,log,x2,x2,x2,cos,div,add,x1,x1,add,add,x2,add,add,x2,x1,x1,x2,exp,add,cos,div,x1,exp,add,add,x2,x2,add,x2,add,x1,x1,cos,div,add,x2,x2,add,add,x2,add,x1,x1,x2",283717,87958,44805,7,211428,160247,4332,40480,247,2007516,1158155,474.3358807563782
