r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
6.897858977317810059e-01,6.897858977317810059e-01,7.219678163528442383e-02,5.711066126823425293e-01,2.339090919494628906e+01,2.936363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.424172222614288330e-01,3.515625000000000000e-02,8.090909123420715332e-01,0.000000000000000000e+00,5.391550064086914062e-01,4.847886562347412109e+00
7.100269198417663574e-01,7.100269198417663574e-01,7.058825343847274780e-02,5.817512273788452148e-01,2.376545524597167969e+01,3.000000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.451782435178756714e-01,1.396414935588836670e-01,8.145454525947570801e-01,0.000000000000000000e+00,5.442005395889282227e-01,6.373560428619384766e+00
7.100269198417663574e-01,5.260578989982604980e-01,7.312207669019699097e-02,5.159033536911010742e-01,2.551818275451660156e+01,5.154545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.685919314622879028e-01,5.859375000000000000e-02,8.090909123420715332e-01,0.000000000000000000e+00,5.119484066963195801e-01,8.212084770202636719e+00
7.100269198417663574e-01,5.210075974464416504e-01,6.618416309356689453e-02,5.161312222480773926e-01,2.528000068664550781e+01,6.963636016845703125e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.647838801145553589e-01,1.250000000000000000e-01,8.327272534370422363e-01,0.000000000000000000e+00,5.146793127059936523e-01,9.996647834777832031e+00
7.100269198417663574e-01,7.100269198417663574e-01,8.346449583768844604e-02,7.100269198417663574e-01,2.142727279663085938e+01,1.336363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.300000000000000000e+01,5.490000000000000000e+02,3.200000000000000000e+01,1.264166533946990967e-01,1.171875000000000000e-02,8.218181729316711426e-01,0.000000000000000000e+00,7.100269198417663574e-01,1.142959022521972656e+01
7.543649673461914062e-01,7.543649673461914062e-01,7.481344789266586304e-02,6.214078068733215332e-01,2.145090866088867188e+01,1.133333301544189453e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.470000000000000000e+02,1.500000000000000000e+01,1.287871748208999634e-01,7.812500000000000000e-03,8.109090924263000488e-01,0.000000000000000000e+00,5.688769221305847168e-01,1.289655494689941406e+01
7.543649673461914062e-01,7.100269198417663574e-01,8.875451236963272095e-02,7.100269198417663574e-01,2.134545516967773438e+01,1.426315784454345703e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.900000000000000000e+01,5.450000000000000000e+02,1.600000000000000000e+01,1.270826011896133423e-01,7.812500000000000000e-03,8.090909123420715332e-01,0.000000000000000000e+00,7.100269198417663574e-01,1.432433128356933594e+01
7.543649673461914062e-01,7.100269198417663574e-01,8.091286569833755493e-02,6.873859167098999023e-01,2.123272705078125000e+01,1.200000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.440000000000000000e+02,8.000000000000000000e+00,1.260400712490081787e-01,4.103844985365867615e-02,7.890909314155578613e-01,0.000000000000000000e+00,6.236389875411987305e-01,1.586938190460205078e+01
7.543649673461914062e-01,7.100269198417663574e-01,9.108556807041168213e-02,7.100269198417663574e-01,2.186181831359863281e+01,2.163999938964843750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.480000000000000000e+02,4.800000000000000000e+01,1.303451061248779297e-01,3.125000000000000000e-02,8.163636326789855957e-01,0.000000000000000000e+00,7.100269198417663574e-01,1.747705078125000000e+01
7.543649673461914062e-01,7.100269198417663574e-01,7.269378006458282471e-02,6.074922680854797363e-01,2.144727325439453125e+01,1.100000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.430000000000000000e+02,8.000000000000000000e+00,1.297572851181030273e-01,3.906250000000000000e-03,8.109090924263000488e-01,0.000000000000000000e+00,5.688769221305847168e-01,1.895163345336914062e+01
7.543649673461914062e-01,5.484240651130676270e-01,8.425374329090118408e-02,5.481254458427429199e-01,2.585272789001464844e+01,6.926000213623046875e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.750341206789016724e-01,1.757812500000000000e-01,7.836363911628723145e-01,0.000000000000000000e+00,5.481134057044982910e-01,2.089531707763671875e+01
7.543649673461914062e-01,7.100269198417663574e-01,9.411590546369552612e-02,7.100269198417663574e-01,2.128545379638671875e+01,2.073999977111816406e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.480000000000000000e+02,4.800000000000000000e+01,1.269823759794235229e-01,3.906250000000000000e-02,7.909091114997863770e-01,0.000000000000000000e+00,7.100269198417663574e-01,2.256914138793945312e+01
7.944751977920532227e-01,7.944751977920532227e-01,1.058582961559295654e-01,7.924504280090332031e-01,2.285272789001464844e+01,4.118181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.451592147350311279e-01,7.812500000000000000e-02,7.745454311370849609e-01,0.000000000000000000e+00,7.910647392272949219e-01,2.429003143310546875e+01
7.944751977920532227e-01,7.100269198417663574e-01,8.485773205757141113e-02,6.145675778388977051e-01,2.209272766113281250e+01,1.016666698455810547e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.460000000000000000e+02,8.000000000000000000e+00,1.425245404243469238e-01,3.906250000000000000e-03,7.763636112213134766e-01,0.000000000000000000e+00,5.607207417488098145e-01,2.603731346130371094e+01
7.944751977920532227e-01,7.440593838691711426e-01,9.996464848518371582e-02,7.400041222572326660e-01,2.094909095764160156e+01,2.445454597473144531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.271626353263854980e-01,1.562500000000000000e-02,7.672727108001708984e-01,0.000000000000000000e+00,7.348780035972595215e-01,2.756541442871093750e+01
7.944751977920532227e-01,7.100269198417663574e-01,8.661828190088272095e-02,7.056665420532226562e-01,1.987999916076660156e+01,1.154545497894287109e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.370000000000000000e+02,5.000000000000000000e+00,1.260468363761901855e-01,3.499406948685646057e-02,7.763636112213134766e-01,0.000000000000000000e+00,6.620626449584960938e-01,2.917083549499511719e+01
7.944751977920532227e-01,6.478157639503479004e-01,8.757672458887100220e-02,6.236054897308349609e-01,2.201091003417968750e+01,3.354545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.392601430416107178e-01,1.953125000000000000e-02,7.727272510528564453e-01,0.000000000000000000e+00,6.064419746398925781e-01,3.077273368835449219e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.745039045810699463e-02,6.997921466827392578e-01,2.020000076293945312e+01,1.681818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.440000000000000000e+02,7.000000000000000000e+00,1.254220157861709595e-01,6.426323950290679932e-02,7.436363697052001953e-01,0.000000000000000000e+00,6.812456250190734863e-01,3.227268600463867188e+01
7.944751977920532227e-01,5.888569951057434082e-01,8.070287853479385376e-02,5.820104479789733887e-01,2.075818252563476562e+01,2.400000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.280202418565750122e-01,1.953125000000000000e-02,7.690908908843994141e-01,0.000000000000000000e+00,5.755598545074462891e-01,3.381191635131835938e+01
7.944751977920532227e-01,6.376776695251464844e-01,8.543566614389419556e-02,5.708001255989074707e-01,2.170727348327636719e+01,3.234999847412109375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.000000000000000000e+01,5.500000000000000000e+02,2.000000000000000000e+01,1.330349892377853394e-01,6.640625000000000000e-02,7.672727108001708984e-01,0.000000000000000000e+00,5.597933530807495117e-01,3.544263076782226562e+01
7.944751977920532227e-01,6.036219596862792969e-01,8.449909090995788574e-02,5.925782322883605957e-01,2.117272758483886719e+01,2.646153831481933594e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,1.298308968544006348e-01,3.515625000000000000e-02,7.618181705474853516e-01,0.000000000000000000e+00,5.830839872360229492e-01,3.703274154663085938e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.212386608123779297e-02,7.100269198417663574e-01,1.957272720336914062e+01,1.391666698455810547e+01,-1.000000000000000000e+00,5.490000000000000000e+02,1.200000000000000000e+01,5.480000000000000000e+02,1.100000000000000000e+01,1.222336962819099426e-01,2.734375000000000000e-02,7.599999904632568359e-01,0.000000000000000000e+00,7.100269198417663574e-01,3.864853668212890625e+01
7.944751977920532227e-01,7.100269198417663574e-01,8.871465176343917847e-02,5.975475311279296875e-01,2.106727218627929688e+01,1.690909004211425781e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.450000000000000000e+02,6.000000000000000000e+00,1.316877603530883789e-01,3.906250000000000000e-03,7.490909099578857422e-01,0.000000000000000000e+00,5.367442965507507324e-01,4.020483016967773438e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.092289209365844727e-02,6.792469620704650879e-01,2.024363708496093750e+01,1.427272701263427734e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.440000000000000000e+02,8.000000000000000000e+00,1.233611702919006348e-01,1.562500000000000000e-02,7.454545497894287109e-01,0.000000000000000000e+00,5.718410015106201172e-01,4.161946105957031250e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.075940504670143127e-01,7.100269198417663574e-01,2.066727256774902344e+01,1.928125000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.200000000000000000e+01,5.480000000000000000e+02,3.000000000000000000e+01,1.228560358285903931e-01,7.812500000000000000e-03,7.363636493682861328e-01,0.000000000000000000e+00,7.100269198417663574e-01,4.314593124389648438e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.548896551132202148e-02,7.100269198417663574e-01,2.009636306762695312e+01,1.027272701263427734e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.380000000000000000e+02,6.000000000000000000e+00,1.202763244509696960e-01,1.562500000000000000e-02,7.454545497894287109e-01,0.000000000000000000e+00,7.100269198417663574e-01,4.458765029907226562e+01
7.944751977920532227e-01,6.897858977317810059e-01,9.999425709247589111e-02,6.645349264144897461e-01,2.081999969482421875e+01,1.462500000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.500000000000000000e+02,1.600000000000000000e+01,1.218334510922431946e-01,1.953125000000000000e-02,7.236363887786865234e-01,0.000000000000000000e+00,6.295366883277893066e-01,4.611601638793945312e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.976029396057128906e-02,7.100269198417663574e-01,2.070181846618652344e+01,1.709090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.200000000000000000e+01,5.450000000000000000e+02,2.000000000000000000e+01,1.218686923384666443e-01,1.171875000000000000e-02,7.345454692840576172e-01,0.000000000000000000e+00,7.100269198417663574e-01,4.773017120361328125e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.991493076086044312e-02,7.100269198417663574e-01,2.224181747436523438e+01,2.575757598876953125e+01,-1.000000000000000000e+00,5.490000000000000000e+02,3.200000000000000000e+01,5.490000000000000000e+02,3.200000000000000000e+01,1.253359466791152954e-01,3.515625000000000000e-02,7.636363506317138672e-01,0.000000000000000000e+00,7.100269198417663574e-01,4.939326858520507812e+01
7.944751977920532227e-01,7.874479293823242188e-01,1.086761280894279480e-01,7.134066224098205566e-01,2.135272789001464844e+01,1.765999984741210938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.490000000000000000e+02,4.900000000000000000e+01,1.217814981937408447e-01,1.562500000000000000e-02,7.490909099578857422e-01,0.000000000000000000e+00,7.100269198417663574e-01,5.090811538696289062e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.069567501544952393e-01,7.050513625144958496e-01,2.282363700866699219e+01,1.372727298736572266e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.430000000000000000e+02,4.000000000000000000e+00,1.317164748907089233e-01,1.562500000000000000e-02,7.163636088371276855e-01,0.000000000000000000e+00,6.552956700325012207e-01,5.240936660766601562e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.920465946197509766e-02,7.100269198417663574e-01,2.187818145751953125e+01,1.777777862548828125e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.600000000000000000e+01,5.430000000000000000e+02,3.100000000000000000e+01,1.261239945888519287e-01,7.181132584810256958e-02,7.436363697052001953e-01,0.000000000000000000e+00,7.100269198417663574e-01,5.399833297729492188e+01
7.944751977920532227e-01,5.334029197692871094e-01,9.754139930009841919e-02,5.261568427085876465e-01,2.259454536437988281e+01,3.009090995788574219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.321994066238403320e-01,4.687500000000000000e-02,7.290909290313720703e-01,0.000000000000000000e+00,5.229186415672302246e-01,5.557601928710937500e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.015965268015861511e-01,6.894015073776245117e-01,2.309636306762695312e+01,2.390909004211425781e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.470000000000000000e+02,8.000000000000000000e+00,1.341667920351028442e-01,1.171875000000000000e-02,7.472727298736572266e-01,0.000000000000000000e+00,6.756884455680847168e-01,5.741209793090820312e+01
7.944751977920532227e-01,5.225391983985900879e-01,9.292703866958618164e-02,5.176693201065063477e-01,2.323272705078125000e+01,4.209090805053710938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.366762518882751465e-01,6.640625000000000000e-02,7.272727489471435547e-01,0.000000000000000000e+00,5.132663249969482422e-01,5.907164764404296875e+01
7.944751977920532227e-01,7.100269198417663574e-01,8.387611061334609985e-02,6.088135242462158203e-01,2.260363578796386719e+01,1.854545402526855469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.440000000000000000e+02,6.000000000000000000e+00,1.321175247430801392e-01,1.562500000000000000e-02,7.599999904632568359e-01,0.000000000000000000e+00,5.501905083656311035e-01,6.054261016845703125e+01
7.944751977920532227e-01,7.944751977920532227e-01,1.083818599581718445e-01,7.882904410362243652e-01,2.361090850830078125e+01,3.072727203369140625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.305757462978363037e-01,2.734375000000000000e-02,7.363636493682861328e-01,0.000000000000000000e+00,7.876214385032653809e-01,6.214138031005859375e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.168504178524017334e-02,6.273800730705261230e-01,2.207090950012207031e+01,1.045454502105712891e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.430000000000000000e+02,4.000000000000000000e+00,1.221745833754539490e-01,3.906250000000000000e-03,7.381818294525146484e-01,0.000000000000000000e+00,5.303904414176940918e-01,6.362471008300781250e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.057939529418945312e-01,7.100269198417663574e-01,2.201636314392089844e+01,1.187500000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.380000000000000000e+02,9.000000000000000000e+00,1.215019896626472473e-01,1.171875000000000000e-02,7.236363887786865234e-01,0.000000000000000000e+00,7.100269198417663574e-01,6.511296081542968750e+01
7.944751977920532227e-01,7.323080897331237793e-01,1.049321964383125305e-01,6.662774682044982910e-01,2.292545509338378906e+01,1.681818199157714844e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.245827674865722656e-01,3.515625000000000000e-02,7.363636493682861328e-01,0.000000000000000000e+00,6.489621996879577637e-01,6.669638824462890625e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.220259636640548706e-02,6.312744021415710449e-01,2.281636428833007812e+01,1.150000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.390000000000000000e+02,6.000000000000000000e+00,1.238553598523139954e-01,7.812500000000000000e-03,7.345454692840576172e-01,0.000000000000000000e+00,5.688769221305847168e-01,6.810456085205078125e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.750131517648696899e-02,7.100269198417663574e-01,2.242545509338378906e+01,1.327272701263427734e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.470000000000000000e+02,1.000000000000000000e+01,1.193497925996780396e-01,2.696857042610645294e-02,7.200000286102294922e-01,0.000000000000000000e+00,7.100269198417663574e-01,6.977201843261718750e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.091780140995979309e-01,7.100269198417663574e-01,2.202727317810058594e+01,1.418000030517578125e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.410000000000000000e+02,4.100000000000000000e+01,1.165895685553550720e-01,1.953125000000000000e-02,7.181817889213562012e-01,0.000000000000000000e+00,7.100269198417663574e-01,7.124258422851562500e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.148966178297996521e-01,7.100269198417663574e-01,2.246909141540527344e+01,1.100000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.340000000000000000e+02,5.000000000000000000e+00,1.194412037730216980e-01,1.562500000000000000e-02,6.818181872367858887e-01,0.000000000000000000e+00,7.100269198417663574e-01,7.268565368652343750e+01
7.944751977920532227e-01,7.100269198417663574e-01,9.620603919029235840e-02,6.279062032699584961e-01,2.236181831359863281e+01,1.066666698455810547e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.100000000000000000e+01,5.290000000000000000e+02,3.000000000000000000e+00,1.183335930109024048e-01,7.812500000000000000e-03,7.200000286102294922e-01,0.000000000000000000e+00,5.688769221305847168e-01,7.408013153076171875e+01
7.944751977920532227e-01,7.100269198417663574e-01,1.170864254236221313e-01,7.100269198417663574e-01,2.569818115234375000e+01,4.468000030517578125e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.470000000000000000e+02,4.700000000000000000e+01,1.416327506303787231e-01,6.640625000000000000e-02,7.181817889213562012e-01,0.000000000000000000e+00,7.100269198417663574e-01,7.573705291748046875e+01
7.948176860809326172e-01,7.948176860809326172e-01,1.156276091933250427e-01,7.945771813392639160e-01,2.479272651672363281e+01,3.594444274902343750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.500000000000000000e+02,1.800000000000000000e+01,1.293850988149642944e-01,2.343750000000000000e-02,7.363636493682861328e-01,0.000000000000000000e+00,7.944751977920532227e-01,7.754889678955078125e+01
