,expression,numerical matches,exact matches
0,[(x1**2 + x1*(log(x1) - 1)*(sin(x1) + (x1 + exp(x1/log(x1 + (2*x1**2 + x1**2/cos(1/(2*log(x1 + 1))) - x1)/x1)))/x1) + x1)/x1**2],10,10.0
0,[(2*x1 + (x1 + exp(x1/log(x1 + (2*x1**2 + x1**2/cos(1/(2*x1)) - 2*x1)/x1)))*(log(x1) - sin(1)))/x1**2],10,10.0
0,[x1*exp(sin(x1**2 + x1 - log(exp(2*x1)*log(exp(x1)))/x1))*log(log(log(log(x1**2*exp(x1)))))],0,10.0
0,[log(exp(exp(2*(x1*cos((x1*(x1 + exp(2*x1)) + x1)/(2*x1)) + x1)/x1))*log(x1))],0,10.0
0,[x1*exp(sin(x1**2 + x1 - 2))*log(log(log(log((x1 + log(x1))*exp(x1)))))],0,10.0
0,[x1*exp(sin(x1**2 + x1 - 2))*log(log(log(log(x1*exp(x1)))))],0,10.0
0,[log(2*x1 + exp(x1*cos(2*x1*(2*x1 + log(x1))))/x1**2)],10,10.0
0,[log(x1 + exp(x1*cos(2*x1*(2*x1 + log(x1))))/x1**2)],10,10.0
0,[(x1*log(x1**2 + x1*exp(x1*cos(2*x1**2))) - 2*x1)/x1],10,10.0
0,[log(2*x1 + exp(x1*cos(2*x1**2)) - 2/x1)],10,10.0
0,[log(2*x1 + exp(x1*cos(2*x1**2)))],10,10.0
0,[log(x1 + exp(x1*cos(2*x1**2)))],10,10.0
0,[x1*cos(x1**2)*cos(2*x1**2)],10,10.0
0,[exp(log(x1)*cos(x1**2))],10,10.0
0,[2*x1/(x1*cos(x1) + x1)],10,10.0
0,[x1*sin(exp(x1))],10,10.0
0,[x1/2],10,10.0
0,[log(x1**2)],10,10.0
0,[2],10,10.0
0,[0],10,10.0
0,[log(x1*exp(x1*cos(x1*log(log(log(x1 + exp(log(log(2*x1))/x1)))/x1**2))) + x1 + (x1*exp(x1*cos(x1*log(log(log(x1 + log(log(2*x1))/x1))/x1**2))) + sin(log(log(x1 + exp(log(log(x1 + log(x1**2)))/x1)))/x1))/x1)],0,10.0
