complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.5687098697549956,0,1,[x1**2 + x1],"add,mul,x1,x1,x1",0.5751187263484431,0.5751187263484431,False
7,0.5989054170415058,0,1,[2*x1**2 + x1],"add,mul,add,x1,x1,x1,x1",0.4485151431837937,0.4485151431837937,False
9,0.5997246687917421,0,1,[x1*(x1**2 + x1) + x1],"add,mul,add,mul,x1,x1,x1,x1,x1",0.44546524329105924,0.44546524329105924,False
13,0.6001305478316628,0,1,[x1*(-x1**2 + 4*x1)],"mul,sub,x1,sub,sub,sub,mul,x1,x1,x1,x1,x1,x1",0.44396117058138523,0.44396117058138523,False
14,0.6006785272932084,0,1,[x1*(exp(x1) - cos(x1)) + x1],"add,mul,sub,exp,x1,cos,x1,x1,x1",0.44193776359857806,0.44193776359857806,False
15,0.6006939693385712,0,1,[x1*(x1**2 + x1 + x1/sin(x1))],"mul,add,x1,add,div,x1,sin,x1,mul,x1,x1,x1",0.441880864417252,0.441880864417252,False
16,0.6017465726077091,0,1,[2*x1*sin(2*x1**3) + x1],"add,mul,add,x1,x1,sin,mul,mul,add,x1,x1,x1,x1,x1",0.43801783418969414,0.43801783418969414,False
20,0.6019673124475097,0,1,[x1**2 + x1 + sin(x1**3*(x1**2 + x1))],"add,add,mul,x1,x1,sin,mul,add,x1,mul,x1,x1,mul,mul,x1,x1,x1,x1",0.4372115835104388,0.4372115835104388,False
23,0.6021190822125295,0,1,[(x1 + exp(sin(x1**2*(x1**2 + x1))))*sin(x1)],"mul,add,exp,sin,mul,mul,add,mul,x1,x1,x1,x1,x1,x1,sin,x1",0.43665801898131307,0.43665801898131307,False
26,0.6022094498454811,0,1,[x1*(x1 + exp(x1**2*sin(x1*exp(x1**3))))],"mul,add,exp,mul,mul,sin,mul,exp,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1",0.436328711375951,0.436328711375951,False
28,0.6022278497075425,0,1,[x1*(x1 + exp(x1**2*sin(x1*exp(x1**4))))],"mul,add,exp,mul,mul,sin,mul,exp,mul,mul,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.4362616879877989,0.4362616879877989,False
29,0.6022998817509994,0,1,[x1**2 + x1 + sin(2*x1**3)*sin(x1**2*(x1**2 + x1))],"add,add,mul,sin,mul,mul,add,x1,mul,x1,x1,x1,x1,sin,mul,mul,add,x1,x1,x1,x1,mul,x1,x1,x1",0.4359993927760119,0.4359993927760119,False
30,0.602321163358183,0,1,[(exp(sin(x1**2*(x1**2 + x1))) + sin(x1))*sin(x1)],"mul,add,exp,sin,sub,add,mul,mul,add,mul,x1,x1,x1,x1,x1,x1,x1,sin,x1,sin,x1",0.4359219256993696,0.4359219256993696,False
35,0.6023445767335958,0,1,[x1*exp(sin(2*x1**3*log(2*x1**2) + x1))*sin(x1) + x1],"add,mul,mul,exp,sin,add,mul,log,mul,add,x1,x1,x1,mul,add,x1,x1,mul,x1,x1,x1,sin,x1,x1,x1",0.4358367130578146,0.4358367130578146,False
40,0.6025432995546282,0,1,[x1*(3*x1 + exp(-3*x1 + exp(x1)*cos(exp(exp(x1**3)))))],"mul,add,add,add,exp,sub,sub,sub,mul,cos,exp,exp,mul,mul,x1,x1,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1",0.4351140659908684,0.4351140659908684,False
44,0.6027889032325126,0,1,[x1*(3*x1 + exp(x1**2*(-2*x1 + exp(x1)*cos(exp(exp(x1**3)))) - x1))],"mul,add,add,add,exp,sub,mul,mul,sub,sub,mul,cos,exp,exp,mul,mul,x1,x1,x1,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1",0.4342224245368165,0.4342224245368165,False
