r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
8.652358055114746094e-01,8.652358055114746094e-01,1.996637433767318726e-01,8.651198148727416992e-01,2.234909057617187500e+01,1.563636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.315430700778961182e-01,5.477226898074150085e-02,5.545454621315002441e-01,0.000000000000000000e+00,8.647032976150512695e-01,4.758551597595214844e+00
8.652358055114746094e-01,8.652358055114746094e-01,1.884253621101379395e-01,8.652358055114746094e-01,2.162727355957031250e+01,1.784210586547851562e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.900000000000000000e+01,5.500000000000000000e+02,1.900000000000000000e+01,1.280379444360733032e-01,1.562500000000000000e-02,5.690909028053283691e-01,0.000000000000000000e+00,8.652358055114746094e-01,6.581081867218017578e+00
8.652358055114746094e-01,8.652358055114746094e-01,2.037531733512878418e-01,8.652358055114746094e-01,2.234727287292480469e+01,2.252000045776367188e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.287891417741775513e-01,1.562500000000000000e-02,5.290908813476562500e-01,0.000000000000000000e+00,8.652358055114746094e-01,8.267265319824218750e+00
8.652358055114746094e-01,8.652358055114746094e-01,1.950560659170150757e-01,8.649435043334960938e-01,2.159090995788574219e+01,1.509090900421142578e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.000000000000000000e+01,1.269774734973907471e-01,1.562500000000000000e-02,5.600000023841857910e-01,0.000000000000000000e+00,8.636840581893920898e-01,9.877378463745117188e+00
8.652358055114746094e-01,8.652358055114746094e-01,2.125076502561569214e-01,8.652358055114746094e-01,2.110727310180664062e+01,1.180000019073486328e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.000000000000000000e+01,5.460000000000000000e+02,1.800000000000000000e+01,1.266362220048904419e-01,1.562500000000000000e-02,5.163636207580566406e-01,0.000000000000000000e+00,8.652358055114746094e-01,1.147870254516601562e+01
8.652534484863281250e-01,8.652534484863281250e-01,2.045516520738601685e-01,8.652510643005371094e-01,2.313272666931152344e+01,4.084615325927734375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.500000000000000000e+02,1.300000000000000000e+01,1.412539780139923096e-01,2.734375000000000000e-02,5.327273011207580566e-01,0.000000000000000000e+00,8.652496337890625000e-01,1.322985363006591797e+01
8.652534484863281250e-01,8.652446269989013672e-01,2.241723239421844482e-01,8.652359843254089355e-01,2.147454452514648438e+01,1.857999992370605469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.245726048946380615e-01,1.171875000000000000e-02,4.854545593261718750e-01,0.000000000000000000e+00,8.652358055114746094e-01,1.503019905090332031e+01
8.654020428657531738e-01,8.654020428657531738e-01,2.155505269765853882e-01,8.650101423263549805e-01,2.302545547485351562e+01,3.281818008422851562e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.429117918014526367e-01,4.687500000000000000e-02,4.854545593261718750e-01,0.000000000000000000e+00,8.648503422737121582e-01,1.688006782531738281e+01
8.654094934463500977e-01,8.654094934463500977e-01,2.263597846031188965e-01,8.652983903884887695e-01,2.190545463562011719e+01,3.509090805053710938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.390186399221420288e-01,1.953125000000000000e-02,4.690909087657928467e-01,0.000000000000000000e+00,8.651149272918701172e-01,1.871156883239746094e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.409198731184005737e-01,8.652358055114746094e-01,2.007090950012207031e+01,1.650000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.490000000000000000e+02,1.300000000000000000e+01,1.248946338891983032e-01,5.640464276075363159e-02,4.090909063816070557e-01,0.000000000000000000e+00,8.652358055114746094e-01,2.039948463439941406e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.221192568540573120e-01,8.652358055114746094e-01,1.994727325439453125e+01,1.166666698455810547e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.420000000000000000e+02,1.000000000000000000e+01,1.226288527250289917e-01,1.171875000000000000e-02,4.836363494396209717e-01,0.000000000000000000e+00,8.652358055114746094e-01,2.199359321594238281e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.314991652965545654e-01,8.652358055114746094e-01,2.009454536437988281e+01,1.838235282897949219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.400000000000000000e+01,5.480000000000000000e+02,3.200000000000000000e+01,1.219538375735282898e-01,6.266165524721145630e-02,4.563636481761932373e-01,0.000000000000000000e+00,8.652358055114746094e-01,2.356837463378906250e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.366676032543182373e-01,8.652358055114746094e-01,2.013818168640136719e+01,1.635294151306152344e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.400000000000000000e+01,5.460000000000000000e+02,3.000000000000000000e+01,1.219112724065780640e-01,4.815331473946571350e-02,4.454545378684997559e-01,0.000000000000000000e+00,8.652358055114746094e-01,2.517101860046386719e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.461225241422653198e-01,8.652358055114746094e-01,1.989454460144042969e+01,1.533333301544189453e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.600000000000000000e+01,5.410000000000000000e+02,3.000000000000000000e+01,1.210939884185791016e-01,2.734375000000000000e-02,3.927272856235504150e-01,0.000000000000000000e+00,8.652358055114746094e-01,2.670931816101074219e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.353889644145965576e-01,8.650324344635009766e-01,2.106909179687500000e+01,1.308333301544189453e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.460000000000000000e+02,8.000000000000000000e+00,1.343121528625488281e-01,4.676784574985504150e-02,4.272727370262145996e-01,0.000000000000000000e+00,8.644080758094787598e-01,2.833779144287109375e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.226274758577346802e-01,8.652358055114746094e-01,2.094727325439453125e+01,1.373333358764648438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.450000000000000000e+02,1.200000000000000000e+01,1.295384466648101807e-01,1.171875000000000000e-02,4.636363685131072998e-01,0.000000000000000000e+00,8.652358055114746094e-01,3.008913040161132812e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.451053857803344727e-01,8.652358055114746094e-01,2.194727325439453125e+01,1.546153831481933594e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.490000000000000000e+02,1.200000000000000000e+01,1.345236748456954956e-01,1.171875000000000000e-02,4.418181777000427246e-01,0.000000000000000000e+00,8.652358055114746094e-01,3.182211875915527344e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.203390300273895264e-01,8.652358055114746094e-01,2.139999961853027344e+01,2.495999908447265625e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.480000000000000000e+02,4.800000000000000000e+01,1.322125196456909180e-01,3.515625000000000000e-02,4.909090995788574219e-01,0.000000000000000000e+00,8.652358055114746094e-01,3.357336044311523438e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.247160375118255615e-01,8.652358055114746094e-01,2.059090995788574219e+01,1.392000007629394531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.500000000000000000e+01,5.410000000000000000e+02,2.100000000000000000e+01,1.239466071128845215e-01,4.243892431259155273e-02,4.709090888500213623e-01,0.000000000000000000e+00,8.652358055114746094e-01,3.506270599365234375e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.309368848800659180e-01,8.652358055114746094e-01,2.089090919494628906e+01,1.486666679382324219e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.500000000000000000e+01,5.440000000000000000e+02,1.100000000000000000e+01,1.252314746379852295e-01,4.819458350539207458e-02,4.654545485973358154e-01,0.000000000000000000e+00,8.652358055114746094e-01,3.669026184082031250e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.098041176795959473e-01,8.652358055114746094e-01,2.130363655090332031e+01,1.477777767181396484e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.440000000000000000e+02,1.200000000000000000e+01,1.271868348121643066e-01,5.137211456894874573e-02,4.872727394104003906e-01,0.000000000000000000e+00,8.652358055114746094e-01,3.835908889770507812e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.195828855037689209e-01,8.652358055114746094e-01,2.102000045776367188e+01,1.447368431091308594e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.900000000000000000e+01,5.400000000000000000e+02,1.300000000000000000e+01,1.252911686897277832e-01,1.562500000000000000e-02,4.890909194946289062e-01,0.000000000000000000e+00,8.652358055114746094e-01,4.008665847778320312e+01
8.654094934463500977e-01,8.652715086936950684e-01,2.233198881149291992e-01,8.652604818344116211e-01,2.149636268615722656e+01,3.063636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.480000000000000000e+02,1.100000000000000000e+01,1.284191161394119263e-01,1.953125000000000000e-02,5.000000000000000000e-01,0.000000000000000000e+00,8.652528524398803711e-01,4.170569610595703125e+01
8.654094934463500977e-01,8.653234839439392090e-01,2.358281463384628296e-01,8.650212287902832031e-01,2.311272811889648438e+01,3.100000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.437498033046722412e-01,2.734375000000000000e-02,4.436363577842712402e-01,0.000000000000000000e+00,8.647353053092956543e-01,4.350494003295898438e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.237496525049209595e-01,8.645148873329162598e-01,2.114727210998535156e+01,1.400000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.390000000000000000e+02,6.000000000000000000e+00,1.280685812234878540e-01,4.756403714418411255e-02,4.763636291027069092e-01,0.000000000000000000e+00,8.623346090316772461e-01,4.512175369262695312e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.229454666376113892e-01,8.652358055114746094e-01,2.102727317810058594e+01,1.223809528350830078e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.100000000000000000e+01,5.350000000000000000e+02,1.300000000000000000e+01,1.248698234558105469e-01,1.562500000000000000e-02,4.781818091869354248e-01,0.000000000000000000e+00,8.652358055114746094e-01,4.668642044067382812e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.302629500627517700e-01,8.652358055114746094e-01,2.155454635620117188e+01,1.410714244842529297e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.800000000000000000e+01,5.460000000000000000e+02,2.500000000000000000e+01,1.261859834194183350e-01,1.562500000000000000e-02,4.636363685131072998e-01,0.000000000000000000e+00,8.652358055114746094e-01,4.831102752685546875e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.221693247556686401e-01,8.652358055114746094e-01,2.127272796630859375e+01,1.593939399719238281e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.300000000000000000e+01,5.320000000000000000e+02,2.300000000000000000e+01,1.252632588148117065e-01,5.100800469517707825e-02,5.036363601684570312e-01,0.000000000000000000e+00,8.652358055114746094e-01,4.996851730346679688e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.110257297754287720e-01,8.643875122070312500e-01,2.186727333068847656e+01,1.963636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.490000000000000000e+02,1.000000000000000000e+01,1.284233182668685913e-01,6.744921952486038208e-02,5.109090805053710938e-01,0.000000000000000000e+00,8.632662892341613770e-01,5.160726547241210938e+01
8.654094934463500977e-01,8.646216988563537598e-01,2.197134345769882202e-01,8.643362522125244141e-01,2.354363632202148438e+01,4.536363601684570312e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.484866887331008911e-01,6.640625000000000000e-02,4.763636291027069092e-01,0.000000000000000000e+00,8.640589118003845215e-01,5.355485916137695312e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.129250913858413696e-01,8.652358055114746094e-01,2.166727256774902344e+01,1.176923084259033203e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.430000000000000000e+02,9.000000000000000000e+00,1.269905418157577515e-01,0.000000000000000000e+00,4.909090995788574219e-01,0.000000000000000000e+00,8.652358055114746094e-01,5.515383911132812500e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.198839336633682251e-01,8.650063872337341309e-01,2.183272743225097656e+01,1.354545497894287109e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.400000000000000000e+02,6.000000000000000000e+00,1.262556910514831543e-01,4.440090060234069824e-02,5.018181800842285156e-01,0.000000000000000000e+00,8.627121448516845703e-01,5.666473007202148438e+01
8.654094934463500977e-01,8.652591705322265625e-01,2.222172617912292480e-01,8.652580380439758301e-01,2.515454483032226562e+01,5.291304397583007812e+01,-1.000000000000000000e+00,5.500000000000000000e+02,4.600000000000000000e+01,5.500000000000000000e+02,4.600000000000000000e+01,1.519463211297988892e-01,8.984375000000000000e-02,4.799999892711639404e-01,0.000000000000000000e+00,8.652579188346862793e-01,5.865167617797851562e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.397556155920028687e-01,8.652358055114746094e-01,2.172181892395019531e+01,1.747999954223632812e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.420000000000000000e+02,4.200000000000000000e+01,1.252325624227523804e-01,1.953125000000000000e-02,4.381818175315856934e-01,0.000000000000000000e+00,8.652358055114746094e-01,6.038091659545898438e+01
8.654094934463500977e-01,8.652481436729431152e-01,2.338971346616744995e-01,8.652458190917968750e-01,2.214363670349121094e+01,2.333333396911621094e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.500000000000000000e+02,1.200000000000000000e+01,1.283581107854843140e-01,1.562500000000000000e-02,4.854545593261718750e-01,0.000000000000000000e+00,8.652448058128356934e-01,6.204262161254882812e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.254034280776977539e-01,8.652358055114746094e-01,2.135454559326171875e+01,1.343750000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.380000000000000000e+02,1.200000000000000000e+01,1.248199194669723511e-01,3.962146490812301636e-02,4.490908980369567871e-01,0.000000000000000000e+00,8.652358055114746094e-01,6.358519744873046875e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.466223388910293579e-01,8.652358055114746094e-01,2.262727355957031250e+01,2.531999969482421875e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.450000000000000000e+02,4.500000000000000000e+01,1.321610957384109497e-01,2.734375000000000000e-02,4.236363768577575684e-01,0.000000000000000000e+00,8.652358055114746094e-01,6.526919555664062500e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.451491802930831909e-01,8.652358055114746094e-01,2.163454627990722656e+01,1.550000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,3.800000000000000000e+01,5.420000000000000000e+02,3.200000000000000000e+01,1.255658119916915894e-01,2.734375000000000000e-02,4.399999976158142090e-01,0.000000000000000000e+00,8.652358055114746094e-01,6.689347076416015625e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.354061454534530640e-01,8.652358055114746094e-01,2.200909042358398438e+01,1.355555534362792969e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.800000000000000000e+01,5.440000000000000000e+02,1.300000000000000000e+01,1.320041567087173462e-01,5.100987106561660767e-02,4.600000083446502686e-01,0.000000000000000000e+00,8.652358055114746094e-01,6.849640655517578125e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.336688637733459473e-01,8.652358055114746094e-01,2.278363609313964844e+01,1.581250000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.460000000000000000e+02,1.200000000000000000e+01,1.336794644594192505e-01,4.441538453102111816e-02,4.690909087657928467e-01,0.000000000000000000e+00,8.652358055114746094e-01,7.011184692382812500e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.489782720804214478e-01,8.652358055114746094e-01,2.182727241516113281e+01,1.114285755157470703e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.400000000000000000e+01,5.400000000000000000e+02,4.000000000000000000e+00,1.262765228748321533e-01,3.459337726235389709e-02,4.418181777000427246e-01,0.000000000000000000e+00,8.652358055114746094e-01,7.184959411621093750e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.508152425289154053e-01,8.652358055114746094e-01,2.325090980529785156e+01,2.275000000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.500000000000000000e+02,1.600000000000000000e+01,1.417071372270584106e-01,3.515625000000000000e-02,4.309090971946716309e-01,0.000000000000000000e+00,8.652358055114746094e-01,7.360568237304687500e+01
8.654094934463500977e-01,8.652358055114746094e-01,2.421618700027465820e-01,8.651648163795471191e-01,2.219818115234375000e+01,1.991666603088378906e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.200000000000000000e+01,5.480000000000000000e+02,1.000000000000000000e+01,1.292175650596618652e-01,7.328347116708755493e-02,4.236363768577575684e-01,0.000000000000000000e+00,8.650997877120971680e-01,7.531053161621093750e+01
8.654590249061584473e-01,8.654590249061584473e-01,2.467031627893447876e-01,8.653533458709716797e-01,2.326363563537597656e+01,4.392307662963867188e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.300000000000000000e+01,5.490000000000000000e+02,1.300000000000000000e+01,1.374692618846893311e-01,3.906250000000000000e-03,4.181818068027496338e-01,0.000000000000000000e+00,8.652837276458740234e-01,7.719240570068359375e+01
8.654590249061584473e-01,8.652358055114746094e-01,2.452732175588607788e-01,8.613584637641906738e-01,2.155272674560546875e+01,1.512500000000000000e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.600000000000000000e+01,5.500000000000000000e+02,1.600000000000000000e+01,1.229059249162673950e-01,3.905760496854782104e-02,4.163636267185211182e-01,0.000000000000000000e+00,8.595960140228271484e-01,7.875355529785156250e+01
8.654590249061584473e-01,8.652358055114746094e-01,2.534670829772949219e-01,8.647157549858093262e-01,2.309090995788574219e+01,2.654545402526855469e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.388956159353256226e-01,9.466230869293212891e-02,4.072727262973785400e-01,0.000000000000000000e+00,8.642529249191284180e-01,8.066355133056640625e+01
8.654590249061584473e-01,8.652358055114746094e-01,2.424222826957702637e-01,8.651425242424011230e-01,2.287272644042968750e+01,1.845454597473144531e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.470000000000000000e+02,8.000000000000000000e+00,1.329463720321655273e-01,6.372884660959243774e-02,4.309090971946716309e-01,0.000000000000000000e+00,8.643623590469360352e-01,8.232010650634765625e+01
8.654590249061584473e-01,8.652358055114746094e-01,2.558862268924713135e-01,8.652358055114746094e-01,2.163636398315429688e+01,1.507692337036132812e+01,-1.000000000000000000e+00,5.500000000000000000e+02,2.600000000000000000e+01,5.460000000000000000e+02,2.300000000000000000e+01,1.228434219956398010e-01,4.093219339847564697e-02,3.836363554000854492e-01,0.000000000000000000e+00,8.652358055114746094e-01,8.389609527587890625e+01
