r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.871825218200683594e-01,5.871825218200683594e-01,1.127934604883193970e-01,5.871806144714355469e-01,2.531818199157714844e+01,4.709090805053710938e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.627570837736129761e-01,7.421875000000000000e-02,5.890908837318420410e-01,0.000000000000000000e+00,5.871803760528564453e-01,5.179334640502929688e+00
7.332386374473571777e-01,7.332386374473571777e-01,1.125306561589241028e-01,6.835528612136840820e-01,2.575090980529785156e+01,5.318181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.675036400556564331e-01,9.375000000000000000e-02,6.236363649368286133e-01,0.000000000000000000e+00,6.749595403671264648e-01,7.381416320800781250e+00
7.332386374473571777e-01,5.496846437454223633e-01,1.000423878431320190e-01,5.253477096557617188e-01,2.179272651672363281e+01,1.190909099578857422e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.285110265016555786e-01,2.343750000000000000e-02,6.054545640945434570e-01,0.000000000000000000e+00,5.187708735466003418e-01,9.167075157165527344e+00
7.332386374473571777e-01,5.773782730102539062e-01,1.122538745403289795e-01,5.651491284370422363e-01,2.523272705078125000e+01,4.586000061035156250e+01,-1.000000000000000000e+00,5.500000000000000000e+02,5.000000000000000000e+01,5.500000000000000000e+02,5.000000000000000000e+01,1.521887332201004028e-01,5.468750000000000000e-02,5.799999833106994629e-01,0.000000000000000000e+00,5.638794302940368652e-01,1.085580062866210938e+01
7.332386374473571777e-01,5.678831338882446289e-01,1.036479547619819641e-01,5.661457180976867676e-01,2.423454475402832031e+01,2.763636398315429688e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.470397114753723145e-01,2.343750000000000000e-02,6.181818246841430664e-01,0.000000000000000000e+00,5.644623041152954102e-01,1.255363655090332031e+01
7.332386374473571777e-01,6.244603991508483887e-01,9.818778932094573975e-02,5.834896564483642578e-01,2.500000000000000000e+01,4.254545593261718750e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.472323536872863770e-01,4.687500000000000000e-02,6.363636255264282227e-01,0.000000000000000000e+00,5.791909098625183105e-01,1.442458438873291016e+01
7.332386374473571777e-01,5.282905697822570801e-01,1.050379648804664612e-01,5.256336927413940430e-01,2.534909057617187500e+01,4.327272796630859375e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.573987156152725220e-01,6.640625000000000000e-02,6.036363840103149414e-01,0.000000000000000000e+00,5.250219106674194336e-01,1.639744567871093750e+01
7.332386374473571777e-01,6.059531569480895996e-01,9.975280612707138062e-02,6.059531569480895996e-01,2.523636436462402344e+01,3.718181991577148438e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.433390080928802490e-01,5.468750000000000000e-02,6.363636255264282227e-01,0.000000000000000000e+00,6.059531569480895996e-01,1.832453918457031250e+01
7.332386374473571777e-01,5.703901052474975586e-01,9.874998778104782104e-02,5.703369379043579102e-01,2.764363670349121094e+01,7.345454406738281250e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.704634577035903931e-01,7.421875000000000000e-02,6.272727251052856445e-01,0.000000000000000000e+00,5.702573060989379883e-01,2.035368347167968750e+01
7.332386374473571777e-01,5.037415623664855957e-01,9.455367177724838257e-02,5.017143487930297852e-01,2.948545455932617188e+01,8.490908813476562500e+01,-1.000000000000000000e+00,5.500000000000000000e+02,1.100000000000000000e+01,5.500000000000000000e+02,1.100000000000000000e+01,1.841780841350555420e-01,3.274979889392852783e-01,5.672727227210998535e-01,0.000000000000000000e+00,5.013800263404846191e-01,2.240040206909179688e+01
