complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.35088543042682496,0,1,[0],"mul,x1,sub,x1,x1",3.422252448313384,3.422252448313384,False
10,0.3514390058592624,0,1,[x1*exp(-2*x1)],"div,x1,exp,add,x1,x1",3.405663445936416,3.405663445936416,False
11,0.37922799298721677,0,1,[x1/(2*x1 - cos(x1))],"div,x1,sub,add,x1,x1,cos,x1",2.6795599263719847,2.6795599263719847,False
13,0.52351706650888,0,1,[x1/(3*x1 - cos(x1))],"div,x1,add,add,x1,sub,x1,cos,x1,x1",0.828386497579298,0.828386497579298,False
15,0.5475650001802808,0,1,[x1/(4*x1 - cos(x1))],"div,x1,add,sub,add,x1,add,x1,x1,cos,x1,x1",0.6827174867095583,0.6827174867095583,False
17,0.5591305060076853,0,1,[x1/(3*x1 + exp(sin(x1)))],"div,x1,add,add,add,exp,sin,x1,x1,x1,x1",0.621718401679236,0.621718401679236,False
19,0.6447165094021561,0,1,[x1/(x1 + exp(E))],"div,x1,add,exp,exp,cos,sub,x1,x1,x1",0.3036773991528528,0.3036773991528528,False
21,0.7117993564617828,0,1,[x1/(2*x1 + exp(E))],"div,x1,add,exp,exp,cos,sub,x1,x1,add,x1,x1",0.16393614202002252,0.16393614202002252,False
25,0.7599819389643909,0,1,[x1*exp(-E - 1)],"div,x1,exp,add,exp,cos,sub,x1,x1,exp,sub,x1,x1",0.09974274204592323,0.09974274204592323,False
28,0.9483420441475875,0,1,[x1*exp(-E - sin(1))],"div,x1,exp,add,exp,cos,sub,x1,x1,sin,exp,sub,x1,x1",0.002967183622784605,0.002967183622784605,False
36,0.9483485452221806,0,1,[x1*exp(-exp(cos(exp(-2*x1))) - sin(1))],"div,x1,exp,add,exp,cos,exp,sub,sub,x1,x1,add,x1,x1,sin,exp,sub,x1,x1",0.0029663961681344803,0.0029663961681344803,False
49,0.9685893168127656,0,1,[sin(x1/(E + 2*exp(E)))],"sin,div,x1,add,exp,exp,sub,x1,x1,add,exp,exp,exp,sub,x1,x1,exp,exp,exp,sub,x1,x1",0.0010516601450421218,0.0010516601450421218,False
53,0.9816516917134455,0,1,[x1/(1 + E + 2*exp(E))],"div,x1,add,exp,exp,exp,sub,x1,x1,add,add,exp,exp,sub,x1,x1,exp,exp,cos,sub,x1,x1,exp,sub,x1,x1",0.0003493632494095415,0.0003493632494095415,False
65,0.9830139522077482,0,1,[2*x1*exp(-E)*exp(-exp(sin(E)))],"div,div,add,x1,x1,add,exp,exp,exp,mul,exp,x1,sub,exp,x1,exp,x1,sin,sub,x1,x1,exp,exp,sin,exp,exp,sub,x1,x1",0.00029858316652079,0.00029858316652079,False
