Complexity,Loss,Equation
1,0.016965898,"x3"
3,0.0069704577,"(x3 ^ 1.4788563)"
5,0.003255121,"(x3 ^ (x2 - -0.848388))"
6,0.0026889169,"(x3 ^ (x2 + cos(x3)))"
7,0.0026089407,"(x3 ^ (x2 + (1.3776048 - x3)))"
8,0.001982126,"sin((x3 ^ (x2 + 1.3005708)) / x4)"
9,0.0016608002,"(x3 * (((x3 ^ x2) - -0.80536747) - x4))"
10,0.0012779835,"(sin((x3 ^ (x2 + 1.5260507)) / x4) + 0.04171742)"
11,0.001214299,"((sin(sin(x3 ^ (x2 + 1.5260507))) / x4) + 0.04170532)"
12,0.0012012122,"(sin((x3 ^ ((x2 + x4) + 0.8175926)) / x4) + 0.04435571)"
13,0.0011655097,"(sin((x3 ^ (log(x2 + x4) + 1.8705014)) / x4) - -0.03997605)"
14,0.0011580238,"(sin((x3 ^ ((x4 + x4) + (x2 ^ 0.5638897))) / x4) + 0.04435571)"
15,0.001117101,"(sin((x3 ^ (log(x4) + exp(sin(x4 + x2)))) / x4) + 0.04685573)"
16,0.0010755231,"(sin((x3 ^ (log(x4) + exp(sin(sin(x4) + x2)))) / x4) + 0.042406324)"
17,0.0010614886,"(sin((x3 ^ (log(x4) + exp(sin((x4 ^ 1.3191593) + x2)))) / x4) + 0.042406324)"
18,0.0010605126,"(sin((x3 ^ (sin(log(x4)) + exp(sin((x4 ^ 1.3191593) + x2)))) / x4) + 0.042406324)"
19,0.0010541973,"(sin((x3 ^ (log(x4) + exp(sin((x4 * x4) + x2) ^ 0.67629963))) / x4) + 0.042406324)"
20,0.0010498322,"(sin((x3 ^ (log(x4) + exp(sin((x4 * x4) + x2) ^ sin(0.6992752)))) / x4) + 0.042406324)"
