Complexity,Loss,Equation
4,3.3241494,"exp(0.9897639 ^ x0)"
5,1.3469763,"exp(cos(x0 * -0.12973425))"
6,0.019953746,"(5.5193515 ^ sin(x0 * 0.16206163))"
8,0.013983761,"(5.6127434 ^ sin((x0 * 0.16926669) - 0.35226285))"
10,0.00918229,"(((7.664999 ^ sin(x0 * 0.16210233)) * 0.7136624) - -0.19138558)"
11,0.0005896422,"((sin(x0 * 0.29325595) + 4.779605) ^ sin(x0 * 0.16179824))"
13,0.00052579516,"(((sin(x0 * 0.2932448) + 4.767572) ^ sin(x0 * 0.16179824)) + 0.009224255)"
15,0.00052567135,"(((sin((x0 + 0.0061486284) * 0.2932448) + 4.767572) ^ sin(x0 * 0.16179824)) + 0.009224255)"
16,0.0004628701,"((sin(x0 * 0.2931412) + ((sin(x0) * -0.03931668) + 4.7762036)) ^ sin(x0 * 0.16179824))"
17,0.00046286813,"((sin(x0 * 0.2931412) + (sin(sin(x0) * -0.03931668) + 4.7762036)) ^ sin(x0 * 0.16179824))"
18,0.00038638746,"((sin(x0 * 0.2931412) + ((sin(x0 * -0.81730026) * -0.04880343) + 4.7762036)) ^ sin(x0 * 0.16179824))"
20,0.00038197727,"((sin(x0 * 0.2931412) + ((sin((x0 * -0.81730026) - -0.14687401) * -0.04880343) + 4.7762036)) ^ sin(x0 * 0.16179824))"
