Complexity,Loss,Equation
1,70.94222,"6.231925"
4,50.202072,"exp(-16.103434 / x0)"
5,45.127705,"exp(exp(-5.8168683 / x0))"
6,2.2309625,"(29.687016 ^ cos(x0 * 92.91146))"
7,2.0441306,"(52.04427 ^ sin(cos(x0 / 11.691588)))"
8,0.45696172,"(29.868357 ^ cos((x0 + 0.9896922) / -12.487404))"
9,0.15200438,"(52.815437 ^ sin(cos((x0 + 1.0610702) / -11.579432)))"
10,0.05976486,"(((0.68838495 ^ x0) + 28.652689) ^ cos(x0 * -1.1665874))"
12,0.03524665,"((((0.6524731 ^ x0) + 40.919514) ^ 0.9091664) ^ cos(x0 * -1.1664022))"
14,0.028891662,"(((((0.65163964 ^ x0) + 40.58013) ^ 0.91035306) ^ cos(x0 * 1.1660147)) - -0.12359855)"
15,0.026799405,"(((((0.65163964 ^ x0) + 41.285793) ^ 0.91035306) - cos(x0)) ^ cos(x0 * 1.1660147))"
17,0.021523254,"((((((0.65163964 ^ x0) + 41.21366) ^ 0.9091664) - cos(x0)) ^ cos(x0 * 1.1660147)) - -0.068066664)"
18,0.021122066,"((((((0.65163964 ^ x0) + 41.21366) ^ 0.9091664) - cos(x0)) ^ cos(x0 * 1.1660147)) - log(0.9091664))"
19,0.020695733,"((((((0.65163964 ^ x0) - (cos(x0) * 2.214443)) + 41.21366) ^ 0.91035306) ^ cos(x0 * 1.1660147)) - -0.068066664)"
