Complexity,Loss,Equation
1,1.8721119,"x0"
2,1.6211373,"exp(x0)"
3,1.1549503,"(x0 * 2.453921)"
4,1.098501,"(exp(x0) * x0)"
5,1.0638933,"((x0 ^ 1.7938331) * 3.0792992)"
7,1.0638077,"(((x0 ^ 1.8289192) * 3.0662942) - -0.022064582)"
9,1.0636414,"(x0 * (3.0377045 ^ (x0 ^ (0.52728873 / x0))))"
10,1.0635304,"(2.9591928 * (x0 ^ (cos(x0) * (1.5112499 + x0))))"
11,1.0598639,"(x0 * ((x0 ^ cos(cos(exp(exp(x0))))) * 3.0795252))"
12,1.0597833,"(x0 * ((x0 ^ cos(sin(cos(exp(exp(x0)))))) * 3.0795252))"
13,1.0552342,"(x0 * ((x0 ^ cos(cos(exp(exp(3.0795252)) / x0))) * 3.0795252))"
15,1.0520267,"((((x0 + (x0 ^ (0.064347334 / (-0.9227471 + x0)))) * x0) * x0) + x0)"
17,1.0491644,"(x0 * ((x0 ^ cos(cos(exp(0.9724231 * (x0 * exp(3.0795252))) ^ 1.4746851))) * 3.0795252))"
